id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFFFTM6R,水濂山众德越野俱乐部,体育休闲服务;娱乐场所;娱乐场所|汽车服务;汽车俱乐部;汽车俱乐部,080300|010600,[],南城街道水濂山景观路(九里潭村口公交站),113.744433,22.933412,113.73924204223532,22.93617266577171,13694917730,广东省,东莞市,东莞市,体育休闲服务,娱乐场所,娱乐场所
B0FFIQFBM6,天禧高尔夫,体育休闲服务;高尔夫相关;高尔夫球场|购物服务;体育用品店;高尔夫用品店,080201|060906,[],长安镇莲峰北路104号,113.807118,22.822552,113.8020317,22.8254114,18688695635,广东省,东莞市,东莞市,体育休闲服务,高尔夫相关,高尔夫球场
B0FFI90EK0,Party·开趴地,体育休闲服务;娱乐场所;娱乐场所|餐饮服务;休闲餐饮场所;休闲餐饮场所|购物服务;购物相关场所;购物相关场所,080300|050400|060000,[],虎门镇北栅凤冈路64号1层,113.715438,22.833035,113.7102604,22.8358574,13145887163,广东省,东莞市,东莞市,体育休闲服务,娱乐场所,娱乐场所
B0H14SRUDP,WUQING CLUB(森林广场店),体育休闲服务;娱乐场所;酒吧|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,080304|061100,[],虎越·森林广场1号门旁,113.686889,22.821126,113.6817451,22.8239975,[],广东省,东莞市,东莞市,体育休闲服务,娱乐场所,酒吧
B0HKCS720Y,JSOLO The first club,体育休闲服务;娱乐场所;酒吧|购物服务;购物相关场所;购物相关场所,080304|060000,[],霄边农民公寓西2门旁,113.812356,22.809541,113.8072839,22.8124144,[],广东省,东莞市,东莞市,体育休闲服务,娱乐场所,酒吧
B0FFLENXW7,长安国际酒店创造营,体育休闲服务;休闲场所;休闲场所|购物服务;购物相关场所;购物相关场所,080500|060000,[],长安镇德政中路222号长安国际酒店附楼,113.799578,22.815497,113.7944738,22.8183465,[],广东省,东莞市,东莞市,体育休闲服务,休闲场所,休闲场所
B0FFILEHF0,LA MIX BAR,体育休闲服务;娱乐场所;酒吧|购物服务;购物相关场所;购物相关场所,080304|060000,[],培英中路88号虎门1号楼盘89号地铺(近龙泉国际大酒店),113.689243,22.8115,113.6840964,22.8143707,[],广东省,东莞市,东莞市,体育休闲服务,娱乐场所,酒吧
B0J6P54BB6,LAMIX,体育休闲服务;娱乐场所;酒吧|购物服务;购物相关场所;购物相关场所,080304|060000,[],培英中路与梁屋北路交叉口北100米,113.689282,22.811473,113.6841353,22.8143436,[],广东省,东莞市,东莞市,体育休闲服务,娱乐场所,酒吧
B03018N44Y,大都会KTV(乌沙环东路),体育休闲服务;娱乐场所;KTV|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,080302|061100,[],长安镇乌沙环东路54号,113.791191,22.796535,113.7860693,22.7993787,[],广东省,东莞市,东莞市,体育休闲服务,娱乐场所,KTV
B0H17S754U,合利屋,体育休闲服务;娱乐场所;酒吧|购物服务;商场;商场,080304|060100,[],长安镇锦厦桃李花园8栋-9号铺,113.79709,22.812906,113.7919802,22.8157525,18025163059,广东省,东莞市,东莞市,体育休闲服务,娱乐场所,酒吧
