id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFGAR0LM,公话超市,公共设施;公用电话;公用电话|购物服务;便民商店/便利店;便民商店/便利店,200200|060200,[],元霞路与旧湖路交叉口北40米,114.024613,22.964627,114.0195307,22.9672993,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0FFGANRCE,公话超市,公共设施;公用电话;公用电话|购物服务;便民商店/便利店;便民商店/便利店,200200|060200,[],西南路与西南四街交叉口西北60米,113.822391,23.116497,113.8173253,23.1192619,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0K6FLMQGR,中国邮政报刊收订处,公共设施;报刊亭;报刊亭|生活服务;生活服务场所;生活服务场所,200100|070000,[],横街六巷与南兴路交叉口东260米,113.604106,22.971048,113.59904230013184,22.973977613020605,[],广东省,东莞市,东莞市,公共设施,报刊亭,报刊亭
B0FFG6JC08,星星话吧,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],新发路与新丰路交叉口东北80米,113.686046,22.858688,113.68090087397724,22.8615467826851,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0FFK7NVA9,星星话吧,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],新发路与新联新安路交叉口南80米,113.686074,22.858916,113.68092881812876,22.861774642497448,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0H1SLJOE0,星星话吧,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],新发路与新联新安路交叉口南60米,113.686114,22.859071,113.6809687495602,22.861929508803737,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0FFM0SDOS,公话超市,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],南溪路与天平路交叉口南20米,113.666676,22.898398,113.66155801510084,22.90127748239673,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0FFJ2P5M2,中国电信公话,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],明珠路243号附近,113.631114,22.878952,113.62604446084904,22.881898498504647,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0FFM1EVWL,公话超市,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],石碣银河北路与盈昌街交叉口西南20米,113.826356,23.104406,113.82130184278572,23.107183374980945,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0H3US78NM,公话超市,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],石碣银河北路与崇焕东路交叉口北20米,113.826327,23.104244,113.82127277493672,23.10702138708121,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0FFH32W2Z,公话超市,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],宝园路3号,113.721519,22.992608,113.716326818508,22.99535790578696,0769-22421000,广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0JKFCXCD9,照相复印电话,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],铜锣围路与长安新民路交叉口东80米,113.791198,22.771536,113.78607792971395,22.774388146105657,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0FFK9NEBU,中国电信IP公话超市,公共设施;公用电话;公用电话|生活服务;生活服务场所;生活服务场所,200200|070000,[],翠竹巷与寮茶路交叉口东北40米,113.889472,23.003279,113.88456518777512,23.006189983074453,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0GR5L2B20,东信公话营业厅,公共设施;公共设施;公共设施|生活服务;生活服务场所;生活服务场所,200000|070000,[],常平镇扬坑路尚佳驾校,114.019371,22.925485,114.01430340858175,22.9281887551461,[],广东省,东莞市,东莞市,公共设施,公共设施,公共设施
B0JUMS9XH0,充话费小店,公共设施;公共设施;公共设施|生活服务;生活服务场所;生活服务场所,200000|070000,[],清溪镇重河三亚圳32号碧桂园幼儿园对面,114.168858,22.84586,114.1638555802048,22.848552256048407,[],广东省,东莞市,东莞市,公共设施,公共设施,公共设施
B0KAXRDBVO,清溪供电公司员工出入口旁丰巢柜,公共设施;公共设施;公共设施|生活服务;生活服务场所;生活服务场所,200000|070000,[],红星街与香芒中路交叉口北40米,114.160178,22.842772,114.15515230966324,22.84544919746177,[],广东省,东莞市,东莞市,公共设施,公共设施,公共设施
B0FFK98VVK,高埗广场-公共厕所,公共设施;公共厕所;公共厕所,200300,[],广场南路与莞潢中路交叉口东260米,113.747938,23.087295,113.74273830795828,23.08998916763994,[],广东省,东莞市,东莞市,公共设施,公共厕所,公共厕所
B0FFGB9LK7,高埗广场-公共厕所(高埗广场),公共设施;公共厕所;公共厕所,200300,[],广场北路与莞潢南路交叉口东80米,113.745846,23.088911,113.74064525885804,23.091604753125942,[],广东省,东莞市,东莞市,公共设施,公共厕所,公共厕所
B0FFG3FY05,公共厕所,公共设施;公共厕所;公共厕所,200300,[],绿化路东200米,113.74066,23.07863,113.7354583998778,23.08132944246188,[],广东省,东莞市,东莞市,公共设施,公共厕所,公共厕所
B0JURXH7AD,公共厕所,公共设施;公共厕所;公共厕所,200300,[],冼沙二下坊与高龙路交叉口东南500米,113.756569,23.090992,113.75137489517834,23.093685291701146,[],广东省,东莞市,东莞市,公共设施,公共厕所,公共厕所
B0FFHF87XN,公话超市,公共设施;公用电话;公用电话,200200,[],高龙路与高埗花园路交叉口东北340米,113.748684,23.095699,113.74348412915135,23.098389600313723,[],广东省,东莞市,东莞市,公共设施,公用电话,公用电话
B0FFHMA18S,公共厕所,公共设施;公共厕所;公共厕所,200300,[],南华街东50米,113.738251,23.077027,113.73304917016026,23.07972809652924,[],广东省,东莞市,东莞市,公共设施,公共厕所,公共厕所
B03018I3G6,公共厕所,公共设施;公共厕所;公共厕所,200300,[],广场北路冼沙二上坊农贸市场,113.75933,23.093177,113.75413827506632,23.095870188516173,[],广东省,东莞市,东莞市,公共设施,公共厕所,公共厕所
B0FFLCSHKG,公共厕所,公共设施;公共厕所;公共厕所,200300,[],创兴路东莞市高埗医院,113.734224,23.092103,113.72902113565256,23.09479987114151,[],广东省,东莞市,东莞市,公共设施,公共厕所,公共厕所
