id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFKDFEVW,东旺汽配,汽车维修;货车维修;货车维修|汽车服务;汽车服务相关;汽车服务相关,035000|010000,[],桥东路与244县道交叉口东北100米,113.60221,22.991431,113.5971446781186,22.99435226458711,15916775217,广东省,东莞市,东莞市,汽车维修,货车维修,货车维修
B0KB75N6AZ,亚富汽车美容维修中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],宴兴路与太沙路交叉口东南60米,113.688927,22.77503,113.683783204143,22.777913836158387,[],广东省,东莞市,东莞市,汽车维修,汽车综合维修,汽车综合维修
B0JKCXL38Z,吊车修理厂,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],中堂镇宝能大厦金洲桩管厂对面,113.693348,23.120543,113.68817532168892,23.12327857459657,[],广东省,东莞市,东莞市,汽车维修,汽车维修,汽车维修
B03018J6BH,初兴汽车维修养护中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],中堂镇北王路103号,113.685179,23.112741,113.68001840225524,23.11549438745129,13412801842,广东省,东莞市,东莞市,汽车维修,汽车综合维修,汽车综合维修
B030104O5S,先进电控燃油喷射检修有限公司,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],厚街镇博览大道桥头新屋路段,113.677057,22.918188,113.67192153021853,22.92103951312357,0769-85910666,广东省,东莞市,东莞市,汽车维修,汽车综合维修,汽车综合维修
B0FFJ075FS,精通汽车维修服务中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],望牛墩镇函谷村汇源路,113.667516,23.052678,113.6623865752254,23.055490040741844,13650099768;13798915355,广东省,东莞市,东莞市,汽车维修,汽车综合维修,汽车综合维修
B0FFG64TL5,粤铃铛汽车快修中心(华诺店),汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],北环路与东兴路交汇处,113.661879,23.063796,113.65675758653146,23.066613935196266,0769-88566877,广东省,东莞市,东莞市,汽车维修,汽车维修,汽车维修
B0FFGLBJ5B,四友汽车维修中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],连马路附近,113.817178,22.929423,113.81211067731935,22.932257946506983,13113123628,广东省,东莞市,东莞市,汽车维修,汽车综合维修,汽车综合维修
B0FFI5MEW6,华下汽修厂,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场,030100|010400|010500,[],大朗镇佛子凹村佛兴路28号,113.894448,22.933096,113.8895514575452,22.936039202900407,13316605082;18027566606,广东省,东莞市,东莞市,汽车维修,汽车综合维修,汽车综合维修
B0FFL25SE6,兴德汽车服务会所,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],道滘镇振兴北5路31号,113.675738,23.009727,113.67059855601204,23.012541871427025,13790594224,广东省,东莞市,东莞市,汽车维修,汽车综合维修,汽车综合维修
