id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFFXQ7IM,丰鑫汽车服务中心(途虎养车店),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],洪梅雍景香江4号(雍豪轩)商铺34号,113.620555,23.00367,113.61548528565044,23.006575548539725,0769-81212268,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0GDVM69GZ,东莞市君驰汽车有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],中堂镇居益公馆60号108,113.665672,23.095356,113.66054263934642,23.09815348586216,0769-81006700;13682516948,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFIZ3G33,东莞骏翔江淮轻卡货车4S店,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],周溪大道3号,113.716128,22.993811,113.7109392582756,22.996566412624755,13728121060,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFHC3YF0,东莞市卡地汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],高埗镇冼沙村1区285号,113.764672,23.099832,113.75948561141048,23.10252479029097,13929261877;18822967199,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFG034D5,鑫诚叉车总汇,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],厚街大道西98号,113.660796,22.948969,113.65568378364068,22.9518383743962,13713305743,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFJP6E96,比亚迪叉车(君宏大厦店),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],厚街环莞快速路378号101室,113.672343,22.895106,113.66721637604356,22.8979760269318,0769-85888586;13829266775,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFICOD1G,天天名车,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],厚街镇南环路,113.646354,22.930494,113.64126375032168,22.93339677651924,13433038009,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFJ2NHCC,上海大众,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],莞太路虎门段267号,113.674721,22.856002,113.66959322867103,22.85888308350036,[],广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFHTR501,中国重汽东莞市车武仕,汽车销售;中国重汽销售;中国重汽销售|汽车服务;二手车交易;二手车交易,025200|011000,[],东平巷17号,113.877185,22.960673,113.87226225682336,22.96359300265119,0769-85789986,广东省,东莞市,东莞市,汽车销售,中国重汽销售,中国重汽销售
B0HU6544KD,东莞神州弘达红旗体验中心,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关|汽车维修;汽车维修;汽车维修,020000|010000|030000,[],虎门镇太安路虎门段370号(S358博涌段),113.688133,22.84029,113.68298606185894,22.84315205926348,0769-82988881,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFHEII5S,东莞盈顺车行,汽车销售;货车销售;货车销售|汽车服务;汽车服务相关;汽车服务相关,025000|010000,[],虎门镇107国道社岗路段中石化加油站旁,113.687538,22.841066,113.68239186534832,22.843928842369287,0769-82888239,广东省,东莞市,东莞市,汽车销售,货车销售,货车销售
B0FFFY5793,东莞市华盛二手车经销有限公司,汽车销售;汽车销售;汽车销售|购物服务;购物相关场所;购物相关场所|汽车服务;汽车服务相关;汽车服务相关,020000|060000|010000,[],寮步镇莞樟路良平段1号,113.847654,23.016523,113.84266232934785,23.019377136940832,0769-81250866;13549488872;13600261397,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFGIQB0O,东莞市华泓汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],寮步镇上屯村西南路39号,113.83315,23.00098,113.82812098834022,23.003814349429938,[],广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0FFIL7DZK,东莞市大毛汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],厚街镇南环路6号,113.657698,22.926619,113.65259192878996,22.92950355300433,0769-88469000;18928279000,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B03017WCWT,东莞飞戈汽车贸易有限公司,汽车销售;货车销售;货车销售|汽车维修;货车维修;货车维修|汽车服务;汽车服务相关;汽车服务相关,025000|035000|010000,[],东莞市国际汽车城B,113.84704,23.009781,113.84204719299568,23.012636979958817,[],广东省,东莞市,东莞市,汽车销售,货车销售,货车销售
B0FFM20YRR,东莞市盈富汽车贸易有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],寮步镇莞樟路塘唇路段61号(中国油联加油站旁),113.862145,23.016291,113.8571883578835,23.01916852915954,0769-83301278,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B03017WDAK,东莞市志诚志远汽车销售有限公司,汽车销售;通用特约销售;雪佛兰销售|汽车维修;通用特约维修;雪佛兰维修|汽车服务;汽车服务相关;汽车服务相关,020403|030503|010000,[],常平镇环城南路桥沥路段志诚车行,113.999711,22.93843,113.99469143636402,22.941186922402288,0769-83330930;0769-83339333,广东省,东莞市,东莞市,汽车销售,通用特约销售,雪佛兰销售
B0FFJWF835,雅速名车,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],凤岗镇龙平西路70号,114.147822,22.712729,114.1427727265404,22.715427393173016,[],广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0JDS7N8ZU,途乐港骏名车,汽车销售;汽车销售;汽车销售,020000,[],方正路与青林路交叉口东80米,113.88357,23.111305,113.87864800633392,23.11416622300405,[],广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0HK6S7JO9,广东泓成汽车服务有限公司,汽车销售;汽车销售;汽车销售,020000,[],宝和街1号创富大厦F1层,113.870874,23.11285,113.86592960419247,23.115698113271183,[],广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0JDSBPBS4,东莞石龙龙升新店店,汽车销售;汽车销售;汽车销售,020000,[],环升街与龙升路交叉口东120米,113.879364,23.106705,113.8744355833494,23.10956461146029,[],广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0J0BRTS0F,金沙湾特斯拉试驾体验中心,汽车销售;汽车销售;汽车销售,020000,[],石龙汇星商业中心,113.871392,23.107788,113.8664489552052,23.110638810227933,13168980817,广东省,东莞市,东莞市,汽车销售,汽车销售,汽车销售
B0HUN7AV2T,广汽传祺(东莞松祺店),汽车销售;广汽传祺销售;广汽传祺销售|汽车维修;广汽传祺维修;广汽传祺维修,023500|033600,[],石排镇康达工业区旁永威大厦,113.898569,23.100087,113.89366565278593,23.10295969603586,0769-87227555;0769-87227788,广东省,东莞市,东莞市,汽车销售,广汽传祺销售,广汽传祺销售
