id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFLHNTEH,东莞小成叉车培训中心,科教文化服务;培训机构;培训机构|汽车服务;汽车服务相关;汽车服务相关,141400|010000,[],高埗镇北王路高埗段10号,113.764926,23.089348,113.75974061182178,23.092045301614508,13925527533,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFM15Q0J,卡尔音乐,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],虎门镇万科南部湾二期131栋,113.708558,22.813573,113.7033877,22.8164116,13712580771;4007789138,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFGEE295,生辉弦乐,科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],厚街镇白濠村田心街6巷11号楼,113.661008,22.866742,113.6559008,22.8696449,0769-81100685,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFK8EP1U,聚艺堂,科教文化服务;美术馆;美术馆|购物服务;购物相关场所;购物相关场所,140400|060000,[],虎门镇朝阳路78号,113.674389,22.80126,113.6692653,22.804162,13929202138,广东省,东莞市,东莞市,科教文化服务,美术馆,美术馆
B0FFGDJ7SG,音为爱琴,科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],虎门镇太沙路东风路段68号(万家乐陶瓷),113.684401,22.799349,113.6792622,22.8022328,13612776107,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFGBDVO5,象山琴行,科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],虎门镇南栅象山综合楼A座1层地铺3号,113.69623,22.783852,113.6910757,22.7867202,0769-85558768,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFGZUNS6,品艺琴行(龙升路),科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],龙升路8号,113.878889,23.11099,113.8739595,23.1138474,0769-81298186;15913792997,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFKPQLBQ,秀乐琴行,科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],石排镇石排大道中611号1040室,113.93392,23.10092,113.9290173,23.1037696,15099789717,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFJ11MV5,星海鼓行,科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],东坑镇草塘路59号,113.948632,22.992319,113.9437195,22.9951897,[],广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFFDMOS4,星海琴行(天景花园店),科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],天景花园南门西北60米,113.94224,23.085326,113.9373299,23.0881689,0769-81372222,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFHWJL52,木琴轩乐器中心,科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],星城国际花园商业会所102,113.864308,23.005887,113.8593568,23.0087721,0769-83000047;13537216899,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFF3B1PI,星爱音乐(星城国际店),科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],寮步镇香市路星城国际花园10栋,113.865221,23.004758,113.8602719,23.0076448,[],广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B030102MTR,博艺琴行(東皇步行街店),科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],大塘坑52号,113.93452,22.999551,113.9296233,23.0024431,0769-83383082,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFJHZ6BN,致上童心城(寮步总店),科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],寮步镇碧园路三号,113.880429,22.993935,113.8755096,22.9968437,13316687812,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0G3D711TC,芳德英皇钢琴(大朗分部),科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],大朗镇富民中路新世纪明上居7号楼11商铺,113.92111,22.933517,113.9162247,22.936453,0769-33611689,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFK9DPF7,艾宾浩斯智能英语,科教文化服务;培训机构;培训机构|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,141400|061100,[],大岭山教育路78号,113.846299,22.905528,113.841311,22.9084271,0769-85652678,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFH9U8IQ,领秀艺术中心,科教文化服务;培训机构;培训机构|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,141400|061100,[],常平镇袁山贝有执小学旁边香市书院三楼,113.974074,22.953245,113.9691161,22.956071,15323503510;15362667835,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFGNGCLW,瓦迪顿,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],黄江镇江海大道105号,113.997617,22.910237,113.9926046,22.9130121,0769-82606366,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFGY49FC,毛毛虫,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],大朗镇嘉园路21号,113.926616,22.941466,113.9217283,22.9443932,[],广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFI88BSH,缘舞者舞蹈艺术教育(石排校区),科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],石排镇石排大道中267号日威大厦二楼,113.9445,23.081284,113.9395874,23.0841245,13316602351;13543722200,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B03018REJF,尚乐艺术(樱桃路),科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],石碣镇樱桃路5号,113.820606,23.102813,113.8155365,23.1055802,0769-86018897;13322606710,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFH2BO7Q,雅乐琴行(新世纪颐龙湾筹备店),科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],高埗镇广场南路新世纪颐龙湾北商铺,113.75074,23.087127,113.7455419,23.0898211,13650228583,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0J0NUIGHP,桃缘舞蹈服装店,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],学院路与院南路交叉口东100米,113.773237,23.048176,113.7680657,23.0508966,[],广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFGXXWFN,诺梵琴行(星城总店),科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],东城街道学星路76号新世纪星城10栋商铺49号,113.801527,23.035008,113.7964131,23.0377702,0769-22324602,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0GRDUIZC1,德缘堂易学馆,科教文化服务;培训机构;培训机构|生活服务;生活服务场所;生活服务场所|购物服务;购物相关场所;购物相关场所,141400|070000|060000,[],莞城街道莞城区堑头新楼新桥街19号,113.756893,23.052687,113.7517017,23.0553966,[],广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B03018JCW0,星梦琴行,科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],莞城街道步步高小区万兴路31-37号,113.767238,23.044522,113.7620585,23.0472397,15916772210,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
B0FFM5HAFL,雅伦钢琴城,科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],地王广场西北门旁,113.764679,23.038959,113.7594967,23.0416776,0769-23015498,广东省,东莞市,东莞市,科教文化服务,培训机构,培训机构
