id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0JUYNLZFD,八戒出行(企石镇兆丰工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],兆丰工业园,114.080993,23.084134,114.07582840285784,23.086647947723115,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JRGNWVWR,八戒出行,虚拟数据;虚拟数据;虚拟数据,980000,[],企石镇大地村博夏新四巷8号,114.066526,23.084848,114.06136788275808,23.087377417735347,13049790529,广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUJNKDMW,八戒出行,虚拟数据;虚拟数据;虚拟数据,980000,[],大地村,114.06461,23.086211,114.05945339099446,23.08874261641437,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0J2HN2DM3,"企石镇科目三考场附近,双人间。",虚拟数据;虚拟民宿;虚拟民宿,980100,[],五八围路幸运公寓,114.075958,23.080019,114.07079481867942,23.08253911937842,"4006888215,308200",广东省,东莞市,东莞市,虚拟数据,虚拟民宿,虚拟民宿
B0J6BC2MB0,企石博罗东平东江大桥送车点,虚拟数据;虚拟数据;虚拟数据,980000,[],东江大桥,114.060402,23.096449,114.05524880081148,23.098982957894304,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JDJGACXB,VE怪我咯民宿(企石镇2号店),虚拟数据;虚拟民宿;虚拟民宿,980100,[],企石幸运公寓五八围路239号,114.075956,23.080019,114.07079281937524,23.08253912136652,"17090114447,,345",广东省,东莞市,东莞市,虚拟数据,虚拟民宿,虚拟民宿
B0JD3G2HK2,VE怪我咯民宿(企石镇1号店),虚拟数据;虚拟民宿;虚拟民宿,980100,[],企石幸运公寓五八围路239号,114.075956,23.080019,114.07079281937524,23.08253912136652,"17090114447,,345",广东省,东莞市,东莞市,虚拟数据,虚拟民宿,虚拟民宿
B0JAUNQ69P,八戒出行(企石大地村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],大地村大地村,114.06461,23.086211,114.05945339099446,23.08874261641437,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JDVNX8QH,众耀租车企石博夏,虚拟数据;虚拟数据;虚拟数据,980000,[],博夏市场博夏市场,114.0547,23.090164,114.04955398976745,23.092710702131694,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0J17NDUIH,丁丁租车(企石店)大地村取车点,虚拟数据;虚拟数据;虚拟数据,980000,[],大地村(公交站),114.062802,23.08603,114.05764706400232,23.088564449286835,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0J2HNXB6G,"企石镇科目三考场附近住宿好房源,离考场近,900米左右。",虚拟数据;虚拟民宿;虚拟民宿,980100,[],五八围路幸运公寓,114.075958,23.080019,114.07079481867942,23.08253911937842,"4006888215,308200",广东省,东莞市,东莞市,虚拟数据,虚拟民宿,虚拟民宿
B0JAMNI9CI,八戒出行(企石博夏村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],博夏村,114.057759,23.089566,114.05260922504915,23.09210736443512,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUHNNO1W,八戒出行(常平东部工业园送车取点),虚拟数据;虚拟数据;虚拟数据,980000,[],东部工业园,114.061609,23.082365,114.05645548357909,23.084902884653943,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUYNC5PU,八戒出行(企石镇东部工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],东部工业园,114.061609,23.082365,114.05645548357909,23.084902884653943,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUYNDFPE,八戒出行(企石镇湖美村梅花垅工业园仁海分厂送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],企石镇湖美村梅花垅工业园(仁海分厂),114.074022,23.07323,114.06886003344476,23.075754998596707,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZNUMXI,八戒出行(谢岗镇东莞市勤实电力工程有限公司送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],东莞市勤实电力工程有限公司,114.21283,22.961277,114.20793010963132,22.96399661456946,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JR5NNFBC,八戒出行(谢岗镇窑山村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],窑山窑下村16号1楼,114.215374,22.963423,114.21047904559366,22.96614485884592,13049790529,广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZNW4X1,八戒出行(谢岗镇港宇送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],港宇,114.216558,22.962771,114.21166537812162,22.96549454778116,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZNY9ZI,八戒出行(谢岗镇东莞市固稳五金制品有限公司送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],东莞市固稳五金制品有限公司,114.216562,22.96145,114.21166947093803,22.9641741194746,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZN19Q0,八戒出行(谢岗镇腾飞工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],腾飞工业园,114.200461,22.961114,114.19553375867824,22.963815870121515,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZNVA0V,八戒出行(谢岗镇峰泉工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],峰泉工业园,114.217544,22.964608,114.2126531317847,22.967331900187634,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JR5NMCP2,八戒出行(谢岗镇窑山村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗振兴大道与莞惠公路交叉口东240米,114.219059,22.965841,114.21417086499088,22.96856606638413,13049790529,广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUCN1RRV,八戒出行(谢岗镇窑山村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],窑山村委会窑山村委会,114.218973,22.966136,114.21408468841102,22.968860845185525,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JU3NTH1F,八戒出行(谢岗镇窑山村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],窑山村,114.219024,22.966213,114.21413577692212,22.96893786808377,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZN24EO,八戒出行(谢岗镇鲜果园水果店送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],鲜果园水果店,114.196211,22.959783,114.19127355626792,22.96247852338573,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0J2YNHMZB,八戒出行(谢岗镇南面村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],南面村南面村,114.207254,22.945933,114.20234328725168,22.948651613306662,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUCNSKO9,八戒出行(谢岗镇南面村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],南面村村委会南面村村委会,114.207161,22.945938,114.2022500822954,22.948656478188543,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZN0MGK,八戒出行(谢岗镇吉田工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],吉田工业园,114.207528,22.946118,114.20261787680744,22.94883692507167,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JU3NZH3X,八戒出行,虚拟数据;虚拟数据;虚拟数据,980000,[],黎村社区综合服务中心,114.208676,22.98329,114.2037659733724,22.985994578082483,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JR5NHZ84,八戒出行,虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇大龙村,114.184661,22.956287,114.17969413803444,22.95896372314853,13049790529,广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JR5NNUHZ,八戒出行(谢岗黎村社区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇黎村小学南路,114.209762,22.98207,114.2048543802908,22.9847766020772,13049790529,广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUCNXA9N,八戒出行(谢岗镇黎村村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],黎村村委会黎村村委会,114.205015,22.982803,114.20009691186578,22.9855025215948,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUTN32NR,八戒出行(谢岗黎村社区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],黎村社区综合服务中心黎村社区综合服务中心,114.208676,22.98329,114.2037659733724,22.985994578082483,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUCNX2LO,八戒出行(谢岗镇大龙村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],大龙村委会大龙村委会,114.184862,22.956225,114.1798956744645,22.95890211746646,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JRUNWW95,八戒出行(谢岗镇大龙村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇大龙村,114.184661,22.956287,114.17969413803444,22.95896372314853,13049790529,广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JU3NQ9VO,八戒出行,虚拟数据;虚拟数据;虚拟数据,980000,[],海口工业区,114.035425,23.081074,114.030311807041,23.08366739055066,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JDAN3AWQ,众耀汽车租赁,虚拟数据;虚拟数据;虚拟数据,980000,[],企石镇吉庆嫂食品有限公司企石镇吉庆嫂食品有限公司,114.037895,23.075468,114.0327773353592,23.07805760203653,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUYNMKUH,八戒出行(企石镇思泉工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],思泉工业园,114.038016,23.085954,114.03289740889277,23.088538882373346,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUYNIKQO,八戒出行(企石镇海口工业区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],海口工业区,114.035425,23.081074,114.030311807041,23.08366739055066,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZNUMXK,八戒出行(谢岗镇龙璧工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],龙璧工业园,114.182661,22.953633,114.17768898908162,22.95630717842028,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUCNVD07,八戒出行(谢岗镇大厚村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇大厚村文化广场谢岗镇大厚村文化广场,114.174803,22.963215,114.1698091431984,22.96587034688085,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JG2N6PRG,八戒出行(谢岗镇大厚村文化广场送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇大厚村文化广场谢岗镇大厚村文化广场,114.174803,22.963215,114.1698091431984,22.96587034688085,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JDRNA216,八戒出行(谢岗镇大厚村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],大厚村委会,114.172265,22.957321,114.16726461164386,22.95997406976844,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JG2N5AVE,八戒出行(银湖商业城送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],银湖商业城银湖商业城,114.166315,22.964454,114.1612979326726,22.967092761013053,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZN11ZS,八戒出行(谢岗镇胜欣铝业有限公司送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],胜欣铝业有限公司,114.165342,22.962272,114.16032243290222,22.96490986875131,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUTNTZYL,八戒出行(谢岗镇银湖工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],银湖工业园银湖工业园,114.163089,22.961758,114.15806336748292,22.96439187383897,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JK3ND7PU,谢岗镇第五工业园,虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇第五工业区,114.156537,22.957455,114.1514941464626,22.96007869217912,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JKJNFJQ3,银瓶站,虚拟数据;虚拟数据;虚拟数据,980000,[],花园大道与谢山路交叉口西180米,114.156544,22.966408,114.1515005783918,22.969027862950576,4006261666,广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JK3NCB0I,谢岗镇银屏站,虚拟数据;虚拟数据;虚拟数据,980000,[],银瓶站,114.156544,22.966388,114.15150057970224,22.969007871547944,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JU3NQPDH,八戒出行(谢岗镇谢山村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢山村,114.15872,22.961127,114.15368268991236,22.963753078391377,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUVNXJWD,八戒出行(谢岗镇谢山村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇谢山路8号,114.158704,22.961053,114.1536666521696,22.96367908092025,13049790529,广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUCNZF6P,八戒出行(谢岗镇谢山村送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇谢山村村民委员会东莞市谢岗镇谢山村村民委员会,114.15866,22.961135,114.15362252969938,22.963760965414902,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZN28R9,八戒出行(谢岗镇东莞捷荣模具制造工业有限公司谢岗分公司送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],东莞捷荣模具制造工业有限公司(谢岗分公司),114.164163,22.964297,114.1591401051305,22.96693178946391,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUTNYTS8,八戒出行(谢岗镇东莞市天卓工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],东莞市天卓工业园东莞市天卓工业园,114.159373,22.956493,114.15433773359564,22.959122258921184,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUZN19PP,八戒出行(谢岗镇第五工业区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇第五工业区,114.156537,22.957455,114.1514941464626,22.96007869217912,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUTN8D7U,八戒出行(谢岗镇索霸工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],索霸工业园索霸工业园,114.154592,22.958599,114.14954396792784,22.961218721852696,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUTNZGHP,八戒出行(谢岗镇谢岗镇第五工业区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],谢岗镇第五工业区谢岗镇第五工业区,114.156537,22.957455,114.1514941464626,22.96007869217912,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUTN44CB,八戒出行(谢岗镇东莞市耀瑞鸿产业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],东莞市耀瑞鸿产业园东莞市耀瑞鸿产业园,114.155888,22.957898,114.1508434089644,22.96052033579508,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JAMN89KS,八戒出行(厚街新围社区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],厚街镇新围社区人力资源服务站东莞市厚街镇新围社区人力资源服务站,113.741806,22.89389,113.73661688805932,22.89666779051796,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JAUNPBII,八戒出行(厚街镇新围社区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],厚街镇新围社区人力资源服务站东莞市厚街镇新围社区人力资源服务站,113.741806,22.89389,113.73661688805932,22.89666779051796,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JKMNH7JT,新围文化广场,虚拟数据;虚拟数据;虚拟数据,980000,[],厚虎路厚街段与沿河路交叉口西100米,113.740061,22.895133,113.734871455774,22.89791089461046,13144872931;13265912866,广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JU5NU6D3,八戒出行(厚街腾鼎科技送车取点),虚拟数据;虚拟数据;虚拟数据,980000,[],腾鼎科技,113.746886,22.907619,113.7416977233958,22.910390025239504,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JDCN0GZL,丁丁租车(东城店)大迳·万裕产业园,虚拟数据;虚拟数据;虚拟数据,980000,[],大迳·万裕产业园大迳·万裕产业园,113.750547,22.908026,113.74536062367368,22.91079665105688,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0J23G2921,景怡休闲度假民宿,虚拟数据;虚拟民宿;虚拟民宿,980100,[],湖景大道屋美村一巷10号天然居,113.74597,22.914797,113.74078085504802,22.917565178859487,"4006888215,,215190",广东省,东莞市,东莞市,虚拟数据,虚拟民宿,虚拟民宿
B0JK9NBWXV,"loft双卧套房 能做饭,有自营游泳池、农庄",虚拟数据;虚拟民宿;虚拟民宿,980100,[],大迳屋美新村景怡休闲度假村二栋一层,113.746029,22.914696,113.74083988604208,22.917464211482176,"4006888215,215190",广东省,东莞市,东莞市,虚拟数据,虚拟民宿,虚拟民宿
B0JU3NPMSH,八戒出行,虚拟数据;虚拟数据;虚拟数据,980000,[],大岭山森林公园,113.776774,22.868587,113.77162016803445,22.87138673475833,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0J67NRNJD,东莞大岭山送车点,虚拟数据;虚拟数据;虚拟数据,980000,[],大岭山森林公园,113.776774,22.868587,113.77162016803445,22.87138673475833,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JG2N7CV0,八戒出行大岭山森林公园取车点,虚拟数据;虚拟数据;虚拟数据,980000,[],大岭山森林公园大岭山森林公园,113.776774,22.868587,113.77162016803445,22.87138673475833,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0J26NOVTX,伴旅出行大岭山生活区送取车点,虚拟数据;虚拟数据;虚拟数据,980000,[],大岭山森林公园虎门景区停车场大岭山森林公园虎门景区停车场,113.738843,22.855543,113.73365589865716,22.85833717365436,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JG2N7CUQ,八戒出行(大岭山森林公园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],大岭山森林公园大岭山森林公园,113.776774,22.868587,113.77162016803445,22.87138673475833,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JAUNJTD5,八戒出行(虎门石洞森林公园西门送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],石洞森林公园(西门),113.756402,22.854505,113.75122340751244,22.857297867559687,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0J15NPEH6,丁丁租车(厚街店),虚拟数据;虚拟数据;虚拟数据,980000,[],慕思新工业园,113.700715,22.915087,113.69554654056364,22.917897683289866,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUTNYMC2,八戒出行,虚拟数据;虚拟数据;虚拟数据,980000,[],大环村大环村,113.790466,22.913681,113.78533506706358,22.916478490915168,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUCNR6Y9,八戒出行(虎门富马工业区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],富马工业区富马工业区,113.711173,22.853641,113.70599759808314,22.856461024457115,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
B0JUCNYCRJ,八戒出行(虎门赤岗工业区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],赤岗工业区赤岗工业区,113.710894,22.853754,113.70571884345976,22.85657435598977,[],广东省,东莞市,东莞市,虚拟数据,虚拟数据,虚拟数据
