id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0JUR53RGG,诚信车险,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],宏远活力康城A12铺,113.72717,23.015436,113.72197373239854,23.018170715716032,[],广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B0KBRAP2Z7,好贷押车借款,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],泰新路与兴隆街十二巷交叉口西北120米,113.723616,23.046822,113.71841913069916,23.04954640316045,[],广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B0KB2OLRTJ,龙环车贷,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],三元里财津商务大厦1416,113.739866,23.009128,113.73466887916211,23.01185755388917,[],广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B0KB47ZMYR,聚鑫汽车贷款,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],裕鹤新村直街与体育路交叉口南40米,113.670044,22.943276,113.66491781295836,22.946130316773186,[],广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B0FFG1PEQI,保险超市,金融保险服务;保险公司;保险公司|汽车服务;汽车服务相关;汽车服务相关,160400|010000,[],长兴街18号,113.807199,22.800435,113.8021143275679,22.803302487769763,0769-85359809;13712947128,广东省,东莞市,东莞市,金融保险服务,保险公司,保险公司
B0H0M9M5TJ,创悦保险车永行,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],寮城中路与寮步富兴路交叉口东40米,113.856601,23.00124,113.85163248461193,23.00411565269612,15818243606,广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B0KBGH6OE0,小融点睛车辆押证车险,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],宏业北十三路与塘厦宏业北四路交叉口东20米,114.093464,22.816602,114.08831957830525,22.81922092535462,[],广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B0FFI7481Z,太平洋财产保险(东莞分公司太平洋人寿保险东莞中支),金融保险服务;保险公司;中国太平洋保险|购物服务;购物相关场所;购物相关场所,160405|060000,[],莞太路168号太平洋保险大厦,113.725925,22.998519,113.7207303,23.0012621,0769-22807699,广东省,东莞市,东莞市,金融保险服务,保险公司,中国太平洋保险
B030105NJK,东莞农村商业银行(道滘支行),金融保险服务;银行;农村商业银行|购物服务;购物相关场所;购物相关场所,160121|060000,[],道滘镇振兴路120号,113.674377,23.005159,113.66924,23.0079784,0769-88833111;0769-88838531,广东省,东莞市,东莞市,金融保险服务,银行,农村商业银行
B0FFFWIAXX,中国太平洋保险(集团)股份有限公司,金融保险服务;保险公司;中国太平洋保险|生活服务;生活服务场所;生活服务场所,160405|070000,[],振兴北路26号,113.717563,23.084157,113.71236723010324,23.086871955576218,0769-88874438,广东省,东莞市,东莞市,金融保险服务,保险公司,中国太平洋保险
B0KADOM299,思思财务会计咨询有限公司,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],高龙路与高埗大道交叉口东北360米,113.730887,23.085533,113.72568504095406,23.088234818237403,[],广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B0JRMOLYV3,同富营业所,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],蟠桃路与同富东路交叉口西北40米,113.822882,23.101682,113.81781864107354,23.10445394044829,[],广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B0JUXO08F3,长松咨询,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],万江街道万道路123号圣佰利国际酒店1层,113.712868,23.03179,113.7076793440092,23.034533063356537,[],广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B0JGH1VY7U,东城国际酒店自助点,金融保险服务;自动提款机;自动提款机|生活服务;生活服务场所;生活服务场所,160300|070000,[],东和路与东昇路交叉口北80米,113.786706,23.025366,113.78155999635312,23.028110732462395,[],广东省,东莞市,东莞市,金融保险服务,自动提款机,自动提款机
B0FFGDY4EF,东莞市瑞洪财税服务有限公司,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],袁屋边宏图北路1号一楼1号、2号,113.724725,22.985256,113.71953170104096,22.98800593561387,13728260088,广东省,东莞市,东莞市,金融保险服务,金融保险服务机构,金融保险机构
B03017VUZI,中国农业银行24小时自助银行(厚街康乐南支行),金融保险服务;自动提款机;中国农业银行ATM|生活服务;美容美发店;美容美发店,160304|071100,[],厚街镇康乐南路与南环路交汇处,113.661066,22.925834,113.65595488645484,22.92871266080487,[],广东省,东莞市,东莞市,金融保险服务,自动提款机,中国农业银行ATM
B03017UQIO,中国邮政储蓄银行(虎门大道营业所)-爱心驿站,金融保险服务;银行;中国邮政储蓄银行|生活服务;生活服务场所;生活服务场所,160139|070000,[],虎门镇虎门大道127号电信大楼首层,113.680502,22.818529,113.67536777817236,22.821413241518314,95580,广东省,东莞市,东莞市,金融保险服务,银行,中国邮政储蓄银行
