id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0KDVKLG4U,碧海水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],沙头西大路与滨河路交叉口南100米,113.76143,22.785995,113.7562607,22.7888145,[],广东省,东莞市,东莞市,风景名胜,公园广场,水族馆
B0IKRLO6D7,奇幻萌宠部落(东莞虎门万达广场店),风景名胜;公园广场;动物园|购物服务;购物相关场所;购物相关场所,110102|060000,[],虎门镇连升北路388号万达广场3楼,113.683535,22.833748,113.6783952,22.836621,13380135190,广东省,东莞市,东莞市,风景名胜,公园广场,动物园
B0FFKPJTOR,绿海洋水族馆,风景名胜;公园广场;水族馆|购物服务;购物相关场所;购物相关场所,110104|060000,[],虎门镇长堤路152号108铺,113.662973,22.818916,113.6578659,22.8218334,13544717555,广东省,东莞市,东莞市,风景名胜,公园广场,水族馆
B0JRYD8Y6B,闽江水族店,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],环岛路与寿山祖三巷交叉口南60米,113.877666,23.122469,113.8727337,23.1253206,[],广东省,东莞市,东莞市,风景名胜,公园广场,水族馆
B0FFFYM9E3,石排广场,风景名胜;公园广场;城市广场|购物服务;商场;商场,110105|060100,[],公园南路1号,113.941392,23.08828,113.9364827,23.0911231,[],广东省,东莞市,东莞市,风景名胜,公园广场,城市广场
B0FFFS8WH3,凯旋门,风景名胜;公园广场;公园|体育休闲服务;娱乐场所;酒吧|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,110101|080304|061100,[],石龙镇太平路119号附近,113.855459,23.110706,113.8504806,23.1135332,0769-86153977,广东省,东莞市,东莞市,风景名胜,公园广场,公园
B0KDVKQKU0,君烨水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],石碣明珠中路与石碣银河北路交叉口东40米,113.827377,23.107403,113.8223254,23.1101811,[],广东省,东莞市,东莞市,风景名胜,公园广场,水族馆
B0FFKMJRLZ,内阁总理府,风景名胜;风景名胜相关;旅游景点|生活服务;生活服务场所;生活服务场所,110000|070000,tour,王屋向西路62号,113.68568,22.829908,113.68053729600943,22.832778425037905,[],广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B0FFKMR0WA,椰林休闲广场,风景名胜;公园广场;城市广场|体育休闲服务;休闲场所;休闲场所,110105|080500,tour,麻涌大道与海德路交叉口东北60米,113.578935,23.039506,113.5738493715104,23.04239898357012,[],广东省,东莞市,东莞市,风景名胜,公园广场,城市广场
B0FFGEZP0Y,东莞水濂山乐民冰雪世界,风景名胜;公园广场;水族馆|体育休闲服务;休闲场所;游乐场,110104|080501,tour,南城区水濂山森林公园乐民游艺园内,113.756146,22.933504,113.75096197777825,22.93626466809335,0769-23020880,广东省,东莞市,东莞市,风景名胜,公园广场,水族馆
B0FFITKX9E,鑫龙水上乐园(桥头店),风景名胜;风景名胜相关;旅游景点|体育休闲服务;体育休闲服务场所;体育休闲服务场所,110000|080000,tour,桥头镇正丰豪苑北门,114.087964,23.007112,114.0828049681303,23.009654715323887,0769-87000616,广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B030102ZSF,凤凰休闲长堤,风景名胜;风景名胜;风景名胜|体育休闲服务;休闲场所;休闲场所,110200|080500,tour,塘厦镇凤凰岗黄河路,114.110597,22.772243,114.10547085420104,22.774880132611383,[],广东省,东莞市,东莞市,风景名胜,风景名胜,风景名胜
B0FFLPN0W3,志拓篮球公园,风景名胜;公园广场;水族馆|体育休闲服务;运动场馆;篮球场馆,110104|080104,tour,长安镇东莞市全优文化传播有限公司五楼,113.789755,22.792241,113.78463053770103,22.79508421414515,[],广东省,东莞市,东莞市,风景名胜,公园广场,水族馆
B0IR3AJE7K,野恩动物乐园,风景名胜;风景名胜相关;旅游景点|体育休闲服务;体育休闲服务场所;体育休闲服务场所,110000|080000,tour,东城万达广场6层,113.780565,23.034875,113.7754067342007,23.03760839924702,0769-22226400,广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B0FFG0R4X1,邵岗头文化广场,风景名胜;公园广场;城市广场,110105,tour,邵岗头路80号,114.109299,23.037025,114.10415374190006,23.03955517280848,[],广东省,东莞市,东莞市,风景名胜,公园广场,城市广场
B03017WAVQ,山和文化广场,风景名胜;公园广场;城市广场,110105,tour,[],114.119126,23.019404,114.11399601429316,23.02194835205209,[],广东省,东莞市,东莞市,风景名胜,公园广场,城市广场
B0FFLEDZ39,东江村文化广场,风景名胜;公园广场;城市广场,110105,tour,桥东路北五街与桥东路北八街交叉口东南260米,114.125178,23.034566,114.12005760495178,23.037109633225167,[],广东省,东莞市,东莞市,风景名胜,公园广场,城市广场
B03018JIKW,岗头村文化广场,风景名胜;公园广场;公园广场,110100,tour,桥头镇岗头村,114.130596,23.029895,114.12548651244563,23.03244691358717,0769-83433989,广东省,东莞市,东莞市,风景名胜,公园广场,公园广场
B0FFJP9P1N,上庙观音阁,风景名胜;风景名胜;寺庙道观,110205,tour,东江大道,114.09409,23.065327,114.08892943060653,23.06784271760624,[],广东省,东莞市,东莞市,风景名胜,风景名胜,寺庙道观
B0H2VHVNLB,虾公山森林公园,风景名胜;公园广场;公园,110101,tour,企石镇虾公山,114.095045,23.063022,114.08988510981138,23.06553854959233,[],广东省,东莞市,东莞市,风景名胜,公园广场,公园
B03017UOPY,屋厦广场,风景名胜;公园广场;公园广场,110100,tour,桥东路北二街42号,114.116396,23.026235,114.11126124460432,23.02877420052537,[],广东省,东莞市,东莞市,风景名胜,公园广场,公园广场
B0FFLQGKCS,铁岗红棉公园,风景名胜;公园广场;公园,110101,tour,企石镇东江大道与铁岗荔园路交叉口东南80米,114.090199,23.071978,114.08503629738637,23.07449192401025,[],广东省,东莞市,东莞市,风景名胜,公园广场,公园
B0301022BG,深巷公园,风景名胜;公园广场;公园,110101,tour,企石镇新湖二路,114.083781,23.077281,114.07861675392576,23.0797958716157,[],广东省,东莞市,东莞市,风景名胜,公园广场,公园
B0I6CRMD39,嘉湖观,风景名胜;风景名胜;风景名胜,110200,tour,城市阅读驿站南侧290米,114.134831,23.019004,114.129731181482,23.021566143255715,18926898161,广东省,东莞市,东莞市,风景名胜,风景名胜,风景名胜
B0I0PC4B3H,华福麦公祠,风景名胜;风景名胜;风景名胜,110200,tour,中麦村,114.09203,23.067345,114.08686831061262,23.069860321398327,[],广东省,东莞市,东莞市,风景名胜,风景名胜,风景名胜
B0I6A522QU,文化广场口袋公园,风景名胜;公园广场;公园,110101,tour,东江村文化广场,114.124523,23.034838,114.11940137477774,23.037380823440937,[],广东省,东莞市,东莞市,风景名胜,公园广场,公园
B0J3NLVB8Q,企石镇同心林,风景名胜;风景名胜;风景名胜,110200,tour,兆丰工业东路与兆丰一横路交叉口北440米,114.084079,23.086437,114.07891415536892,23.08894782335112,[],广东省,东莞市,东莞市,风景名胜,风景名胜,风景名胜
B0FFKQCTOE,世昌麦公祠,风景名胜;风景名胜;寺庙道观,110205,tour,铁岗荔园路与铁岗文明路交叉口东北120米,114.088118,23.070736,114.08295477539274,23.07325128300516,[],广东省,东莞市,东莞市,风景名胜,风景名胜,寺庙道观
B0FFHM97N8,李屋村文化广场,风景名胜;公园广场;城市广场,110105,tour,长青路,114.095044,23.027833,114.08988644837282,23.030364667114387,[],广东省,东莞市,东莞市,风景名胜,公园广场,城市广场
B03017WAAM,邓屋文化广场,风景名胜;公园广场;城市广场,110105,tour,桥头镇邓屋村,114.083936,23.024271,114.07877528437756,23.026808484222546,[],广东省,东莞市,东莞市,风景名胜,公园广场,城市广场
B0FFKEIIYC,桥头镇邓屋村邓屋祠堂(邓氏宗祠),风景名胜;风景名胜相关;旅游景点,110000,tour,围前面巷2号,114.093642,23.024032,114.08848394404698,23.02656554425731,[],广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B0HKKDHVX3,李屋李氏宗祠,风景名胜;风景名胜;寺庙道观,110205,tour,桥头镇李屋村李屋东门巷1号,114.096429,23.024424,114.0912725143784,23.02695699404985,[],广东省,东莞市,东莞市,风景名胜,风景名胜,寺庙道观
B0FFL1VVNY,革命烈士纪念碑,风景名胜;风景名胜;纪念馆,110204,tour,光明路与沙边街交叉口南100米,114.102832,23.02604,114.09768046099464,23.0285727136848,[],广东省,东莞市,东莞市,风景名胜,风景名胜,纪念馆
B0FFK8GN43,李氏大宗祠,风景名胜;风景名胜;风景名胜,110200,tour,李朗路199号附近,114.090421,23.037818,114.085260646189,23.0403464654801,[],广东省,东莞市,东莞市,风景名胜,风景名胜,风景名胜
B0FFKR2L6V,怡云姚公祠,风景名胜;风景名胜;寺庙道观,110205,tour,深巷围面前路与深巷深南路交叉口东20米,114.084661,23.077589,114.07949677849896,23.08010319350417,[],广东省,东莞市,东莞市,风景名胜,风景名胜,寺庙道观
B0FFLOZC13,梅隐公祠,风景名胜;风景名胜;寺庙道观,110205,tour,深巷深南路与五八围路交叉口东北240米,114.084588,23.077674,114.07942376767193,23.08018820169536,[],广东省,东莞市,东莞市,风景名胜,风景名胜,寺庙道观
B0FFJRW5MK,法治长廊,风景名胜;风景名胜相关;旅游景点,110000,tour,桥头镇碧莲路3号莲湖公园(北侧),114.100677,23.018987,114.09552401499644,23.021522423510945,[],广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B0FFKEI7DJ,邓屋炮楼,风景名胜;风景名胜相关;旅游景点,110000,tour,桥头镇邓屋村沙井巷70号,114.092012,23.023222,114.08685323625396,23.02575627748835,[],广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B0HRVUUPA4,欢乐洞,风景名胜;风景名胜相关;旅游景点,110000,tour,桥头镇碧莲路3号莲湖公园(北侧),114.101019,23.018866,114.09586631248168,23.021401516392604,[],广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B0FFJ2RNRI,银瓶红公园,风景名胜;公园广场;公园,110101,tour,谢岗镇南面村,114.205938,22.943374,114.2010245346698,22.94609180051888,[],广东省,东莞市,东莞市,风景名胜,公园广场,公园
B0FFI57HEO,池庐,风景名胜;风景名胜相关;旅游景点,110000,tour,[],114.201485,22.940918,114.1965614824997,22.94363010513648,[],广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B0I0GU9BST,谢岗镇井水龙,风景名胜;风景名胜相关;旅游景点,110000,tour,长江头路与357省道交叉口南180米,114.191465,22.956634,114.18651584046894,22.959322763455905,[],广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B0FFLQF7JP,荔枝公园,风景名胜;公园广场;公园,110101,tour,S357(莞惠公路),114.194284,22.958109,114.18934187559444,22.960801993445862,[],广东省,东莞市,东莞市,风景名胜,公园广场,公园
B0FFFZKQGW,东莞市银瓶山自然保护区界碑,风景名胜;风景名胜相关;旅游景点,110000,tour,谢岗镇南面村银瓶山森林公园,114.213727,22.926344,114.20883117394804,22.929079604104896,[],广东省,东莞市,东莞市,风景名胜,风景名胜相关,旅游景点
B03018J149,崖山古迹,风景名胜;风景名胜;风景名胜,110200,tour,谭公庙南侧,114.208081,22.969305,114.20317058712683,22.972014776087523,[],广东省,东莞市,东莞市,风景名胜,风景名胜,风景名胜
B03017UN1V,谭公庙,风景名胜;风景名胜;寺庙道观,110205,tour,谢岗镇黎村村崖山森林公园,114.208173,22.969541,114.20326277197162,22.97225080393459,[],广东省,东莞市,东莞市,风景名胜,风景名胜,寺庙道观
