id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0J24ZQOKY,佛山乐平嘉州广场店,住宿服务;住宿服务相关;住宿服务相关|汽车销售;汽车销售;汽车销售,100000|020000,hotel,乐平镇乐平大道西侧金融新区1号嘉洲广场(佛山三水乐平店),113.018946,23.247675,113.01360171624296,23.250257735574223,[],广东省,佛山市,三水区,住宿服务,住宿服务相关,住宿服务相关
B0J1U95403,沙头蔚然锦和,住宿服务;住宿服务相关;住宿服务相关|汽车销售;汽车销售;汽车销售,100000|020000,hotel,汀三线与华沙路交叉口西北100米,112.996676,23.209453,112.99141269147307,23.21211522448248,[],广东省,佛山市,南海区,住宿服务,住宿服务相关,住宿服务相关
B02F50UOP8,维也纳酒店(影视城店),住宿服务;宾馆酒店;三星级宾馆|住宿服务;宾馆酒店;经济型连锁酒店|购物服务;购物相关场所;购物相关场所,100104|100105|060000,[],松岗松夏工业园工业大道东近南海南国桃园,113.085206,23.179213,113.0797126,23.1816937,0757-85236888;4008882888,广东省,佛山市,南海区,住宿服务,宾馆酒店,三星级宾馆
B0FFG0XMY9,安康租房,住宿服务;旅馆招待所;旅馆招待所|购物服务;购物相关场所;购物相关场所,100200|060000,[],龙江镇仙塘环村路3号1座,113.042823,22.878612,113.037429,22.8812809,[],广东省,佛山市,顺德区,住宿服务,旅馆招待所,旅馆招待所
B0FFIS3ZSQ,佛山有舍睡眠体验馆(容桂店),住宿服务;住宿服务相关;住宿服务相关|购物服务;购物相关场所;购物相关场所,100000|060000,[],"容桂文华路63号,近业胜路",113.265049,22.751552,113.2597441,22.7543796,15899592207,广东省,佛山市,顺德区,住宿服务,住宿服务相关,住宿服务相关
B0FFHS55D5,城市便捷酒店(天天商场店),住宿服务;宾馆酒店;经济型连锁酒店|购物服务;购物相关场所;购物相关场所,100105|060000,[],建设西路219号(天天商场旁),113.131967,22.860271,113.1265054,22.8629034,0757-29200892;0757-29200893,广东省,佛山市,顺德区,住宿服务,宾馆酒店,经济型连锁酒店
B0FFIBUGX5,7天阳光酒店,住宿服务;宾馆酒店;经济型连锁酒店|住宿服务;旅馆招待所;旅馆招待所|购物服务;购物相关场所;购物相关场所,100105|100200|060000,[],伦常路58号,113.215081,22.871197,113.2097544,22.8739643,0757-27832777,广东省,佛山市,顺德区,住宿服务,宾馆酒店,经济型连锁酒店
B0FFGXE2AS,温暖之家,住宿服务;旅馆招待所;旅馆招待所|购物服务;购物相关场所;购物相关场所,100200|060000,[],均安镇新华永丰市场马头路2号,113.167468,22.701153,113.1620738,22.7038971,13925913120;15118787379,广东省,佛山市,顺德区,住宿服务,旅馆招待所,旅馆招待所
B0FFME4UHQ,永家公寓百货,住宿服务;旅馆招待所;旅馆招待所|购物服务;便民商店/便利店;便民商店/便利店,100200|060200,[],开源路与三村南街交叉口东北160米,112.911487,23.120854,112.906443,23.123724,[],广东省,佛山市,南海区,住宿服务,旅馆招待所,旅馆招待所
B0FFIC7CNY,每好居,住宿服务;旅馆招待所;旅馆招待所|购物服务;购物相关场所;购物相关场所,100200|060000,[],东风路与工业大道交叉口东南60米,113.053266,23.167444,113.0478258,23.16997,17879512128,广东省,佛山市,南海区,住宿服务,旅馆招待所,旅馆招待所
