id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFGZEAZ1,佳果园果业,体育休闲服务;休闲场所;采摘园|购物服务;综合市场;果品市场,080503|060704,[],仙境农场红心火龙果基地东北侧170米,112.730277,22.841533,112.7251129,22.844345,13726338332,广东省,佛山市,高明区,体育休闲服务,休闲场所,采摘园
B0FFMAZX47,优篮体育,体育休闲服务;运动场馆;综合体育馆|购物服务;体育用品店;体育用品店,080101|060900,[],大德路与仁德路交叉口东南140米,112.865019,22.89801,112.8599761,22.9009494,[],广东省,佛山市,高明区,体育休闲服务,运动场馆,综合体育馆
B0KD49UR6G,泰迪熊工厂店,体育休闲服务;休闲场所;游乐场|购物服务;专卖店;专营店,080501|061200,[],拓展路与荣业二路交叉口东60米,113.229355,22.847913,113.2240434,22.8507035,[],广东省,佛山市,顺德区,体育休闲服务,休闲场所,游乐场
B0FFHRQ38P,奕骄微商俱乐部,体育休闲服务;体育休闲服务场所;体育休闲服务场所|购物服务;购物相关场所;购物相关场所,080000|060000,[],华连雅居东门旁,113.043963,22.86375,113.0385669,22.8664222,13420651400,广东省,佛山市,顺德区,体育休闲服务,体育休闲服务场所,体育休闲服务场所
B0HG4MSIG8,德昇体育,体育休闲服务;运动场馆;综合体育馆|购物服务;体育用品店;体育用品店,080101|060900,[],伦教体育馆入口旁,113.20871,22.880608,113.2033747,22.8833632,[],广东省,佛山市,顺德区,体育休闲服务,运动场馆,综合体育馆
B0FFG1RPO8,mecca(大良店),体育休闲服务;娱乐场所;酒吧|购物服务;购物相关场所;购物相关场所,080304|060000,[],大良云路新桂中路东林美域花苑8号商铺,113.272697,22.837818,113.26738,22.8406104,0757-22276583,广东省,佛山市,顺德区,体育休闲服务,娱乐场所,酒吧
B0KG6DYIT0,青岛啤酒鲜啤吧,体育休闲服务;娱乐场所;酒吧|购物服务;专卖店;烟酒专卖店,080304|061210,[],东华骨伤科医院东南门旁,113.258471,22.840974,113.2531639,22.8437736,[],广东省,佛山市,顺德区,体育休闲服务,娱乐场所,酒吧
B0JBTOC0VF,品悦人生酒业(乐活新地店),体育休闲服务;娱乐场所;酒吧|购物服务;专卖店;烟酒专卖店,080304|061210,[],新桂南路5号乐活新地商务楼102-2号铺,113.271832,22.819641,113.2665171,22.8224409,[],广东省,佛山市,顺德区,体育休闲服务,娱乐场所,酒吧
B0FFKSK6LX,翔天爱滑儿童轮滑培训(大信·新都汇店),体育休闲服务;运动场馆;溜冰场|购物服务;购物相关场所;购物相关场所,080107|060000,[],彩虹路1号大信·新都汇B1层,113.296053,22.797329,113.2907072,22.800108,13202468806,广东省,佛山市,顺德区,体育休闲服务,运动场馆,溜冰场
B0I119CH7M,Disney迪士尼,体育休闲服务;休闲场所;游乐场|购物服务;专卖店;儿童用品店,080501|061207,[],兴顺路辅路与欣荣路交叉口西北220米,113.287989,22.796336,113.282656,22.7991268,[],广东省,佛山市,顺德区,体育休闲服务,休闲场所,游乐场
B02F511H0V,盛会,体育休闲服务;娱乐场所;KTV|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,080302|061100,[],聚龙东路15号(陈涌卫生站对面),113.0398,22.848305,113.0344166,22.8509929,[],广东省,佛山市,顺德区,体育休闲服务,娱乐场所,KTV
B0KU6GWOGI,小米家·儿童DIY手工制作体验辅食零食店,体育休闲服务;休闲场所;休闲场所|购物服务;专卖店;专营店,080500|061200,[],银湖西路与银湖三路交叉口西100米,112.999939,23.11678,112.9946702,23.1194678,[],广东省,佛山市,南海区,体育休闲服务,休闲场所,休闲场所
B0FFM1QC4O,上林苑销售中心,体育休闲服务;运动场馆;游泳馆|购物服务;购物相关场所;购物相关场所|生活服务;生活服务场所;生活服务场所,080110|060000|070000,[],狮山镇小塘三环东路9号,112.987907,23.086273,112.9826829,23.0890096,[],广东省,佛山市,南海区,体育休闲服务,运动场馆,游泳馆
B0FFIFDWXM,巴黎人(大沥店),体育休闲服务;娱乐场所;酒吧|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,080304|061100,[],大沥镇金雅轩世纪广场,113.118379,23.105009,113.1128882,23.1075239,19523862544,广东省,佛山市,南海区,体育休闲服务,娱乐场所,酒吧
B0JGBN73TI,哈哈家族精酿啤酒,体育休闲服务;娱乐场所;酒吧|购物服务;专卖店;烟酒专卖店,080304|061210,[],凤平路与城南一路交叉口西北80米,113.110156,23.10607,113.104661,23.108579,[],广东省,佛山市,南海区,体育休闲服务,娱乐场所,酒吧
B0FFHXM9NR,强牌庄园,体育休闲服务;休闲场所;休闲场所|购物服务;购物相关场所;购物相关场所,080500|060000,[],丹灶镇塱心大桥边,112.923392,22.992292,112.9183437,22.9952082,[],广东省,佛山市,南海区,体育休闲服务,休闲场所,休闲场所
B0I2CA8YO0,灏辰体育(佛山东平保利广场店),体育休闲服务;运动场馆;运动场所|购物服务;体育用品店;体育用品店,080100|060900,[],乐从镇佛山保利东平广场3楼,113.132564,22.964609,113.1270961,22.9671991,[],广东省,佛山市,顺德区,体育休闲服务,运动场馆,运动场所
B0FFGA9JFD,北斗星晖网络会所,体育休闲服务;娱乐场所;网吧|购物服务;购物相关场所;购物相关场所,080308|060000,[],张槎街道莲大北路28号,113.051128,23.025531,113.0457025,23.0281198,[],广东省,佛山市,禅城区,体育休闲服务,娱乐场所,网吧
B0FFFV5JE9,旺旺乐棋牌室(御璟上院店),体育休闲服务;娱乐场所;棋牌室|购物服务;便民商店/便利店;便民商店/便利店,080306|060200,[],古大路38号15座P54,113.077761,23.031664,113.0722855,23.0342106,13928686316,广东省,佛山市,禅城区,体育休闲服务,娱乐场所,棋牌室
B0KBLA4Z31,彩石陶艺,体育休闲服务;休闲场所;休闲场所|购物服务;专卖店;专营店,080500|061200,[],中国凤凰路17号凤凰楼B入口,113.077106,23.008656,113.0716329,23.0112132,[],广东省,佛山市,禅城区,体育休闲服务,休闲场所,休闲场所
B0FFFX9YS0,百业顺棋牌茶艺(九鼎店),体育休闲服务;娱乐场所;棋牌室|购物服务;购物相关场所;购物相关场所,080306|060000,[],九鼎国际城5号门西130米,113.130431,23.014264,113.1249573,23.01683,0757-82733183,广东省,佛山市,禅城区,体育休闲服务,娱乐场所,棋牌室
B0GKJ6VAJC,WICKED LOVE(绿地·璀璨家园2期店),体育休闲服务;娱乐场所;酒吧|购物服务;购物相关场所;购物相关场所,080304|060000,[],招商臻园东门东北50米,113.132375,23.009281,113.1269038,23.0118516,[],广东省,佛山市,禅城区,体育休闲服务,娱乐场所,酒吧
B02F5064IJ,Wonderful音乐酒吧,体育休闲服务;娱乐场所;酒吧|购物服务;购物相关场所;购物相关场所,080304|060000,[],同济路35号东建同济广场,113.111422,23.019324,113.1059334,23.0218705,13923198440,广东省,佛山市,禅城区,体育休闲服务,娱乐场所,酒吧
B02F50UVGM,梦坊BAR,体育休闲服务;娱乐场所;酒吧|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,080304|061100,[],东江龙娱乐饮食中心038,113.122606,22.990389,113.1171262,22.9929566,[],广东省,佛山市,禅城区,体育休闲服务,娱乐场所,酒吧
B0FFHIDX5N,休闲度电竞(三剑网咖店),体育休闲服务;娱乐场所;网吧|购物服务;购物相关场所;购物相关场所,080308|060000,[],乐从镇乐从居委会新马路2号二层201房之二号铺,113.089802,22.959063,113.0843201,22.9616332,18566433350,广东省,佛山市,顺德区,体育休闲服务,娱乐场所,网吧
