id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0HDFAFYWH,国际车城,商务住宅;楼宇;商务写字楼|汽车销售;汽车销售;汽车销售,120201|020000,[],佛山大道中93号,113.101398,23.006139,113.09590873503792,23.00868761292037,0757-82729888,广东省,佛山市,禅城区,商务住宅,楼宇,商务写字楼
B0FFGAMMO4,佛山国际车城北区,商务住宅;商务住宅相关;商务住宅相关|汽车销售;汽车销售;汽车销售,120000|020000,[],佛山大道中83号,113.099938,23.007836,113.09444878918949,23.01038371814085,[],广东省,佛山市,禅城区,商务住宅,商务住宅相关,商务住宅相关
B0FFFSCC6L,明银凯伦堡豪庭,商务住宅;住宅区;住宅小区|购物服务;专卖店;珠宝首饰工艺品,120302|061202,[],杨西大道南辅路与和丽路交叉口南160米,112.788139,22.868398,112.7829784,22.8712182,[],广东省,佛山市,高明区,商务住宅,住宅区,住宅小区
B02F508QWH,华彩居,商务住宅;住宅区;住宅小区|购物服务;购物相关场所;购物相关场所,120302|060000,[],荷城街道中山路28号,112.875655,22.886701,112.8706236,22.8896578,[],广东省,佛山市,高明区,商务住宅,住宅区,住宅小区
B0KGXCQ8V7,景礼小区杂货铺,商务住宅;住宅区;住宅小区|购物服务;便民商店/便利店;便民商店/便利店,120302|060200,[],育才路与育才三巷交叉口西南20米,112.889505,22.892165,112.8844809,22.8951306,[],广东省,佛山市,高明区,商务住宅,住宅区,住宅小区
B0FFI2G10R,水乡新村,商务住宅;住宅区;住宅区|购物服务;购物相关场所;购物相关场所,120300|060000,[],里水镇宏岗沥口村,113.147947,23.222329,113.1424833,23.2248374,[],广东省,佛山市,南海区,商务住宅,住宅区,住宅区
B0FFMCWCQ6,九江烟南市场综合楼二(西方楼B座),商务住宅;楼宇;商务写字楼|购物服务;综合市场;综合市场,120201|060700,[],龙高路辅路与河烟线交叉口西140米,112.95733,22.869662,112.9522181,22.8725727,[],广东省,佛山市,南海区,商务住宅,楼宇,商务写字楼
B0GDR9BCXS,锦力新都汇,商务住宅;楼宇;商住两用楼宇|购物服务;商场;普通商场,120203|060102,[],勒流街道港口西路39号,113.155851,22.863081,113.1504249,22.8657499,[],广东省,佛山市,顺德区,商务住宅,楼宇,商住两用楼宇
B02F50YOA6,凤翔商业广场,商务住宅;楼宇;商住两用楼宇|购物服务;商场;商场,120203|060100,[],大良凤翔路45号,113.224779,22.844066,113.2194641,22.8468542,[],广东省,佛山市,顺德区,商务住宅,楼宇,商住两用楼宇
B0FFJ3T8SJ,尚信·尚豪,商务住宅;住宅区;住宅小区|购物服务;购物相关场所;购物相关场所,120302|060000,[],横九路西50米,113.147701,22.690407,113.1422728,22.6931182,[],广东省,佛山市,顺德区,商务住宅,住宅区,住宅小区
B0FFI3WH9G,海宜家,商务住宅;住宅区;住宅小区|购物服务;购物相关场所;购物相关场所,120302|060000,[],容豪路与新合路交叉口南220米,113.297704,22.753852,113.2923583,22.7566428,[],广东省,佛山市,顺德区,商务住宅,住宅区,住宅小区
