id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0JKMK648I,VEXED旗舰店,摩托车服务;摩托车销售;摩托车销售|汽车服务;汽车服务相关;汽车服务相关,040100|010000,[],黄岐泌冲海北大道北丰泰写字楼626,113.192831,23.142702,113.18745348081268,23.14532198648528,[],广东省,佛山市,南海区,摩托车服务,摩托车销售,摩托车销售
B0FFFS3T7S,安驰,摩托车服务;摩托车销售;摩托车销售|汽车服务;汽车服务相关;汽车服务相关,040100|010000,[],乐从镇兴华路b69-73号(即罗卜围喜联大厦c座),113.093043,22.956608,113.08755944479978,22.95917826942757,0757-28107766,广东省,佛山市,顺德区,摩托车服务,摩托车销售,摩托车销售
B0FFLDNY1I,弘顺达摩托(环市北路店),摩托车服务;摩托车销售;摩托车销售|汽车服务;汽车服务相关;汽车服务相关,040100|010000,[],大良环市北路金富楼110-112号(近环市北路),113.239947,22.847888,113.23464074238244,22.85068454564217,0757-22282310,广东省,佛山市,顺德区,摩托车服务,摩托车销售,摩托车销售
B0J10Z18FT,龙江官田市场店,摩托车服务;摩托车销售;摩托车销售|汽车销售;汽车销售;汽车销售,040100|020000,[],官田北路与官田福中路交叉口北20米,113.069264,22.847999,113.06381316922794,22.850631734256297,[],广东省,佛山市,顺德区,摩托车服务,摩托车销售,摩托车销售
B0FFG6T2FS,畅骑摩托车维修店,摩托车服务;摩托车维修;摩托车维修,040200,[],华侨新村南门西50米,112.859072,23.506837,112.8539820641394,23.50957956938344,[],广东省,佛山市,三水区,摩托车服务,摩托车维修,摩托车维修
B0FFJ57AK8,潘洪摩托维修店,摩托车服务;摩托车维修;摩托车维修,040200,[],南山镇迳口越侨路25号,112.860644,23.508254,112.85555606674924,23.510998896244207,[],广东省,佛山市,三水区,摩托车服务,摩托车维修,摩托车维修
B0HR4UZO7E,宗武摩托车店,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],南山镇侨新路15号东106,112.860862,23.507489,112.85577440242064,23.510234236862697,13434883026,广东省,佛山市,三水区,摩托车服务,摩托车服务相关,摩托车服务相关
B0FFKUCJG0,三车道摩托车维修店,摩托车服务;摩托车维修;摩托车维修,040200,[],南山镇萌茵花园十九座,112.856783,23.502045,112.85169021414391,23.5047841620494,[],广东省,佛山市,三水区,摩托车服务,摩托车维修,摩托车维修
B0GKBUIFXG,章兴摩托车电动车维修店,摩托车服务;摩托车维修;摩托车维修,040200,[],X503(教育路),112.837986,23.433695,112.83286781702094,23.43640663016759,[],广东省,佛山市,三水区,摩托车服务,摩托车维修,摩托车维修
B0HUSSLVK0,台铃电动车(南山镇六和专卖店),摩托车服务;摩托车销售;摩托车销售,040100,[],南山镇卫生院西北门东北60米,112.834628,23.433292,112.8295040203172,23.43599740836268,13420777138,广东省,佛山市,三水区,摩托车服务,摩托车销售,摩托车销售
B02F505E7R,滔仔摩托维修,摩托车服务;摩托车维修;摩托车维修,040200,[],大塘建设路62号,112.895875,23.440085,112.8908162769102,23.442866965507577,13074267896,广东省,佛山市,三水区,摩托车服务,摩托车维修,摩托车维修
B02F503HG4,华记摩托配件维修,摩托车服务;摩托车维修;摩托车维修,040200,[],大塘镇建设路107号,112.894297,23.440496,112.88923822466091,23.443277459688872,[],广东省,佛山市,三水区,摩托车服务,摩托车维修,摩托车维修
B0J2OABW0N,电动车维修店,摩托车服务;摩托车维修;摩托车维修|生活服务;维修站点;维修站点,040200|071200,[],建设路大塘市场斜对面,112.894634,23.440699,112.88957522638322,23.44348054467565,[],广东省,佛山市,三水区,摩托车服务,摩托车维修,摩托车维修
