id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0K6OATUZ5,深记油泵油咀工程机械,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],269省道与三水大道南交叉口西南80米,112.854836,23.057852,112.84976936871234,23.06070801806137,[],广东省,佛山市,三水区,汽车维修,汽车维修,汽车维修
B0JGLSG912,鑫晖汽修厂,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],狮山镇虹岭路丹邱村汉新停车场内左则,113.069016,23.141337,113.06354575209924,23.143847564958616,13630072568;13760632039,广东省,佛山市,南海区,汽车维修,汽车综合维修,汽车综合维修
B02F511OYX,金俊汽车维修中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],罗村下柏工业大道29号,113.017741,23.061715,113.0124132786318,23.06437254731265,0757-86445466;13690645535,广东省,佛山市,南海区,汽车维修,汽车综合维修,汽车综合维修
B02F50WY4S,新立美汽车服务公司,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],丹灶大道科教新村,112.916859,23.049672,112.91181474000877,23.05256882851219,0757-85413998,广东省,佛山市,南海区,汽车维修,汽车综合维修,汽车综合维修
B0FFMF94QY,铭捷汽车维修中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],狮山镇小塘车站对面,112.98156,23.096923,112.976357184721,23.09967383345007,13924013223,广东省,佛山市,南海区,汽车维修,汽车综合维修,汽车综合维修
B0H3HZZ5OD,刹车王方向机,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],九江镇镇南工业区心海伽蓝厂旁,112.929885,22.874912,112.9248345274884,22.877870220548186,13724594530;18125661520,广东省,佛山市,南海区,汽车维修,汽车维修,汽车维修
B0FFME5NHJ,南海为邦汽车维修服务中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],南海力鸿化纤有限公司西南门东南140米,113.011134,22.915546,113.00583887004652,22.918285541557147,13620112383;13928616989,广东省,佛山市,南海区,汽车维修,汽车综合维修,汽车综合维修
B02F50WI2F,国友汽修,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],崇民路与樵华路交叉口西南200米,112.966928,22.95808,112.96178212329448,22.96093054043847,0757-86862118,广东省,佛山市,南海区,汽车维修,汽车综合维修,汽车综合维修
B0FFFEOXED,胜驱汽车服务部,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],沥胜大厦1楼(广云路南),113.045961,23.131121,113.0405415895868,23.133676414089503,0757-81825330,广东省,佛山市,南海区,汽车维修,汽车综合维修,汽车综合维修
B0FFKQ3HUX,陈师电喷油泵,汽车维修;货车维修;货车维修|汽车服务;汽车养护/装饰;汽车养护,035000|010400,[],潭村伟基坊20号(花卉世界地铁站A口步行470米),113.156216,22.974237,113.15078308986368,22.97686041024897,13435490046,广东省,佛山市,顺德区,汽车维修,货车维修,货车维修
B0FFGY01TM,汇友汽车维护服务部,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],陈村镇仙涌工业区口旧尚亿鞋厂宏兴冲床对面,113.229054,22.980777,113.22373339576586,22.983512480639952,13168530647;13509951400,广东省,佛山市,顺德区,汽车维修,汽车维修,汽车维修
B0FFFQPVZZ,业成汽修美容部,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],乐从镇良教工业区良教沙,113.065465,22.964459,113.06001292028256,22.967049176326267,0757-28830500,广东省,佛山市,顺德区,汽车维修,汽车维修,汽车维修
B0FFMHHI6S,福敏补胎轮胎店(南庄店),汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],南庄镇魁奇路星隆停车场,113.057595,22.988618,113.05215705582748,22.991210485259984,15918062706;15920551841,广东省,佛山市,禅城区,汽车维修,汽车维修,汽车维修
B0FFKOSS1W,恒驰通汽车维修美容养护中心,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],陈村镇石洲村伟业大道8号,113.210027,23.002108,113.20468531924712,23.004813826033946,18665476788,广东省,佛山市,顺德区,汽车维修,汽车维修,汽车维修
B02F508HVI,糖盛汽配店,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车配件销售;汽车配件销售,030100|010800,[],莘村中路,113.164526,22.921932,113.15911156299296,22.92459292762713,15817880892,广东省,佛山市,顺德区,汽车维修,汽车综合维修,汽车综合维修
B0FFLK4GHG,吉亮汽车美容中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],罗村联和工业区西区17-19号,113.082916,23.06884,113.07743226236728,23.07136661692652,18923125188;86192356,广东省,佛山市,南海区,汽车维修,汽车综合维修,汽车综合维修
B0HG4ATKZC,奔致,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],北滘镇中发西路槎涌工业区新的电机旁,113.193874,22.911858,113.18851374466068,22.914577293366783,0757-26660128,广东省,佛山市,顺德区,汽车维修,汽车综合维修,汽车综合维修
B0FFKMQ6QW,创展图汽车维修服务部,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],世龙大道69附近,113.188544,22.876979,113.18317684962923,22.879703174941053,13553339565,广东省,佛山市,顺德区,汽车维修,汽车维修,汽车维修
B0FFGCQIMW,佛山市宇豪顺汽车服务有限公司,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],北滘镇广教工业区广珠路3号,113.213535,22.909235,113.20820399908364,22.91198495462679,0757-26398043;18988540130,广东省,佛山市,顺德区,汽车维修,汽车维修,汽车维修
B02F508OD3,大吉利汽修厂,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],南庄镇樵乐路吉利工业园对面,113.0336,22.954096,113.02822785822116,22.956756131465703,0757-85316868,广东省,佛山市,禅城区,汽车维修,汽车综合维修,汽车综合维修
B02F508M7P,奋记汽配,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],勒流龙升北路43号,113.136307,22.852721,113.1308513232572,22.85536220686661,0757-23667322,广东省,佛山市,顺德区,汽车维修,汽车维修,汽车维修
