id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFHUG4HV,佛山市吉骏达汽车销售服务有限公司,汽车销售;吉利特约销售;吉利销售|汽车服务;汽车服务相关;汽车服务相关,022300|010000,[],云东海街道南丰大道81号商铺8(C27-28),112.917307,23.193909,112.91225294760402,23.19674750851849,13724686684,广东省,佛山市,三水区,汽车销售,吉利特约销售,吉利销售
B0FFKS3TR0,东风风神(时利和狮山店),汽车销售;东风特约销售;东风销售|汽车服务;汽车服务相关;汽车服务相关,022200|010000,[],一环路尚南上濠综合楼,113.013451,23.127472,113.00813369545816,23.13011478998441,[],广东省,佛山市,南海区,汽车销售,东风特约销售,东风销售
B0FFH3WCYR,拓球车世家汽车贸易选购中心,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],机灵电器办公楼西南门旁(广教地铁站B2口步行290米),113.211666,22.911637,113.20633249565128,22.9143835548017,18923118778,广东省,佛山市,顺德区,汽车销售,汽车销售,汽车销售
B0FFG6YWML,碧豪汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],北滘镇泰宁东路2号(即新昇酒家附近),113.267334,22.941356,113.26201483889116,22.944110627361493,0757-26608961,广东省,佛山市,顺德区,汽车销售,汽车销售,汽车销售
B0FFLA98BT,佛山顺肇福田奥铃专营店(大沥店),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],坤旺有色金属有限公司西北门西南50米,113.104378,23.092463,113.09888283345587,23.09497536253123,[],广东省,佛山市,南海区,汽车销售,汽车销售,汽车销售
B0FFLDUKXX,一汽马自达(佛山中衡骏达店),汽车销售;福特特约销售;马自达销售|汽车服务;汽车养护/装饰;汽车养护|汽车维修;汽车维修;汽车维修,021802|010400|030000,[],大沥镇谢边广佛路17号,113.103456,23.078819,113.09796172822688,23.081336854087912,0757-81182665;0757-81182666;4008187445,广东省,佛山市,南海区,汽车销售,福特特约销售,马自达销售
B0FFGIXDSZ,佛山吉盛汽车销售服务有限公司,汽车销售;货车销售;货车销售|汽车服务;汽车服务相关;汽车服务相关,025000|010000,[],罗村(罗村医院对面),113.042531,23.061293,113.03712559992144,23.06388514716132,0757-86259105,广东省,佛山市,南海区,汽车销售,货车销售,货车销售
B0FFIRBHC8,佛山南洲汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],上朗兴业南路97-101号,113.057837,23.038042,113.05239519545998,23.0406127321238,13678974415,广东省,佛山市,禅城区,汽车销售,汽车销售,汽车销售
B0IG3C7ZIF,佛山雷驰汽车长安跨越新能源罗村店,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],罗村商业广场A座A122,113.051004,23.047748,113.04557734269518,23.050327520315804,18575898703,广东省,佛山市,南海区,汽车销售,汽车销售,汽车销售
B0KBRMONIJ,鸿利运新能源(滴滴-高德-哈啰),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],罗村汇车港汽配城C座首层,113.086985,23.060318,113.08149824640785,23.06284584071292,13702921712,广东省,佛山市,南海区,汽车销售,汽车销售,汽车销售
B0FFGDCX5R,中国重汽总代理(佛山盛浚通旗舰店),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],广珠公路伦教路段昌泰楼首层1-3号铺,113.219412,22.873167,113.21409007669337,22.87593849571563,0757-22282128,广东省,佛山市,顺德区,汽车销售,汽车销售,汽车销售
B0FFHLY40W,铭进车业,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],乐从镇腾冲商贸一路腾乐公寓首层,113.099654,22.957701,113.09416823273448,22.96027028236088,13288434155;13326785265,广东省,佛山市,顺德区,汽车销售,汽车销售,汽车销售
B0HDT5KQJN,杭州叉车(顺德厂家直销店),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],伦教镇工业大道兴华南路路口同安木工机械有限公司一楼,113.220073,22.882817,113.21475111771012,22.88558534808226,0757-22330815;18807602460,广东省,佛山市,顺德区,汽车销售,汽车销售,汽车销售
B0FFKHDOQS,顺景车行,汽车销售;货车销售;货车销售|汽车服务;二手车交易;二手车交易,025000|011000,[],乐从镇腾冲牌坊公交站旁,113.092592,22.962751,113.08710825213652,22.96531874793875,13924871943,广东省,佛山市,顺德区,汽车销售,货车销售,货车销售
B0FFH8CM6X,广东合诚中国一汽(综合维修厂),汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,020000|030000|010000,[],广珠珠公路新松路段,113.231109,22.856191,113.22579806474414,22.858979618671125,0757-22207603,广东省,佛山市,顺德区,汽车销售,汽车销售,汽车销售
B0FFIQ9GRR,宇良纳智捷汽车生活馆,汽车销售;纳智捷销售;纳智捷销售|汽车服务;汽车服务相关;汽车服务相关,023400|010000,[],京珠线德进楼东南侧约40米,113.237866,22.849772,113.2325589153646,22.85256696746341,0757-22306808;0757-22363088,广东省,佛山市,顺德区,汽车销售,纳智捷销售,纳智捷销售
