id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFFOWW51,涛哥学车,科教文化服务;驾校;驾校|汽车服务;汽车服务相关;汽车服务相关,141500|010000,[],狮山镇松岗刘新村南二路77号,113.101819,23.056889,113.09632625766872,23.0594158393821,13702656133;15728727130,广东省,佛山市,南海区,科教文化服务,驾校,驾校
B0FFKS0UW6,彩虹斑马,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],沧江路633-3号,112.862177,22.886071,112.8571314,22.8890112,13802640960,广东省,佛山市,高明区,科教文化服务,培训机构,培训机构
B0FFG8MUMM,童画梦想,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],荷城街道君逸湾华府一座商铺之123号,112.871675,22.891047,112.8666398,22.8939977,0757-88235552;18929925759,广东省,佛山市,高明区,科教文化服务,培训机构,培训机构
B0FFIF8QJR,百宝乐,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],荷香路223号国际车城2楼,112.893539,22.884977,112.8885161,22.8879472,13380210217;18566001987,广东省,佛山市,高明区,科教文化服务,培训机构,培训机构
B0FFKVBDRN,新方向教育,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],健力宝南路45号,112.896591,23.163496,112.8915502,23.1663506,13435433669,广东省,佛山市,三水区,科教文化服务,培训机构,培训机构
B02F507S19,金苹果早期教育中心,科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],高明大道东465-2号,112.862952,22.890053,112.8579071,22.8929927,0757-88284443,广东省,佛山市,高明区,科教文化服务,培训机构,培训机构
B0FFFVSXYK,糖果91号店(里广路店),科教文化服务;培训机构;培训机构|购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,141400|060400|060200,[],里水镇里广路115号糖果雅苑商业区91号,113.192736,23.187497,113.1873553,23.1900997,0757-81116501;13392258985,广东省,佛山市,南海区,科教文化服务,培训机构,培训机构
B0FFIN9PEU,珠江钢琴(广百广场店),科教文化服务;培训机构;培训机构|购物服务;专卖店;专营店,141400|061200,[],里水镇里广路2号金沙洲广百广场3层,113.205759,23.175532,113.2003998,23.1781601,0757-89379338,广东省,佛山市,南海区,科教文化服务,培训机构,培训机构
B0FFFOT08K,时尚宝宝,科教文化服务;学校;幼儿园|购物服务;专卖店;儿童用品店,141204|061207,[],振兴路与东升路交叉口北80米,113.161252,23.198683,113.1558129,23.2012233,13925998801,广东省,佛山市,南海区,科教文化服务,学校,幼儿园
B0GD0Y6U1M,贝贝家园,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,141400|060000,[],里水镇振兴路72号贝贝家园童装店,113.161224,23.199001,113.1557848,23.2015411,15875716520,广东省,佛山市,南海区,科教文化服务,培训机构,培训机构
