id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFGQ6UZK,北江西收费站(G94珠三角环线高速出口),道路附属设施;收费站;收费站,180200,[],三水区,112.875527,23.376744,112.8704638224648,23.37952185583553,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFGRDIBB,北江西收费站(G94珠三角环线高速入口),道路附属设施;收费站;收费站,180200,[],三水区,112.875373,23.376637,112.87030970070371,23.379414714671544,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFGQ95EG,北江东收费站(G94珠三角环线高速出口),道路附属设施;收费站;收费站,180200,[],三水区,112.914815,23.387268,112.90975082763016,23.39005454613766,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFGQ7715,北江东收费站(G94珠三角环线高速入口),道路附属设施;收费站;收费站,180200,[],三水区,112.914511,23.38713,112.90944711671824,23.389916744294524,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFGQ6TH7,大塘收费站(G94珠三角环线高速出口),道路附属设施;收费站;收费站,180200,[],三水区,112.95272,23.407187,112.94758556485904,23.40991716694837,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFGQ7ZNG,大塘收费站(G94珠三角环线高速入口),道路附属设施;收费站;收费站,180200,[],三水区,112.95293,23.407342,112.94779500019013,23.41007168977563,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFFS2MYW,大塘服务区,道路附属设施;服务区;高速服务区,180300,[],三水区,112.980172,23.429447,112.97495189890036,23.43210392882601,[],广东省,佛山市,三水区,道路附属设施,服务区,高速服务区
B0FFH6Y3XB,大塘服务区,道路附属设施;服务区;高速服务区,180300,[],三水区,112.979198,23.430736,112.97398112118562,23.4333955594488,[],广东省,佛山市,三水区,道路附属设施,服务区,高速服务区
BZ7TP500A9,范湖服务区(佛清从高速佛山方向),道路附属设施;服务区;高速服务区,180300,[],三水区,113.025242,23.338511,113.01987053452277,23.341050698453,[],广东省,佛山市,三水区,道路附属设施,服务区,高速服务区
BZ7TP500AA,范湖服务区(佛清从高速从化方向),道路附属设施;服务区;高速服务区,180300,[],三水区,113.027106,23.338264,113.02172847627637,23.340798624538376,[],广东省,佛山市,三水区,道路附属设施,服务区,高速服务区
B0FFGY7VZY,更合停车区(广台高速台山方向),道路附属设施;服务区;高速服务区,180300,[],高明区,112.499981,22.757366,112.49485104197127,22.76020158560048,[],广东省,佛山市,高明区,道路附属设施,服务区,高速服务区
B0FFG7NNT1,更合西收费站(S5广台高速出口),道路附属设施;收费站;收费站,180200,[],高明区,112.465661,22.746181,112.46042724375056,22.74892196402933,[],广东省,佛山市,高明区,道路附属设施,收费站,收费站
B0FFF017WT,更合停车区(广台高速广州方向),道路附属设施;服务区;高速服务区,180300,[],高明区,112.499487,22.755973,112.49435554868452,22.758807530142764,[],广东省,佛山市,高明区,道路附属设施,服务区,高速服务区
B0FFGQ7S45,更合西收费站(S5广台高速入口),道路附属设施;收费站;收费站,180200,[],高明区,112.465719,22.746049,112.46048541016904,22.748790151510097,[],广东省,佛山市,高明区,道路附属设施,收费站,收费站
B0FFGQ4MWQ,云东海收费站(G55二广高速出口云东海方向),道路附属设施;收费站;收费站,180200,[],三水区,112.879286,23.179513,112.8742385053148,23.182351476128773,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFGQ7ME0,云东海收费站(G55二广高速入口西向),道路附属设施;收费站;收费站,180200,[],三水区,112.879782,23.180886,112.8747347537283,23.18372441271209,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFGQ9G19,云东海收费站(G55二广高速入口东向),道路附属设施;收费站;收费站,180200,[],三水区,112.883526,23.180319,112.87848102094355,23.18316071862478,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
B0FFH6K92I,云东海收费站(G55二广高速出口云东海方向),道路附属设施;收费站;收费站,180200,[],三水区,112.885352,23.181131,112.88030784890567,23.183973734377098,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
