id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0J1GP513M,平安车险,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],国泰路与保乐路交叉口南80米,113.301506,22.79802,113.29615064856772,22.800790110713745,[],广东省,佛山市,顺德区,金融保险服务,金融保险服务机构,金融保险机构
B0JR363DO6,盛行汽车抵押贷款,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],穗盐东路与华榜路交叉口西20米,113.179871,23.095196,113.17447346568947,23.09781187421282,[],广东省,佛山市,南海区,金融保险服务,金融保险服务机构,金融保险机构
B0J3XSTX0V,平安汽车金融,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],灯湖东路8号华亚金融中心F23层,113.149366,23.056923,113.14391588690836,23.059498809841976,[],广东省,佛山市,南海区,金融保险服务,金融保险服务机构,金融保险机构
B0JKLZYDWO,长丰车贷,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],海八西路壹邦车城A区二楼A05办公室,113.131745,23.069719,113.1262689994098,23.072262875122373,[],广东省,佛山市,南海区,金融保险服务,金融保险服务机构,金融保险机构
B0FFMCT6C3,文慧科技支付商行,金融保险服务;金融保险服务机构;金融保险机构|购物服务;购物相关场所;购物相关场所,160000|060000,[],豸浦大道与环山东路交叉口东北220米,113.13722,22.720285,113.1317744,22.7229721,[],广东省,佛山市,顺德区,金融保险服务,金融保险服务机构,金融保险机构
B0FFIV4IIG,日日升零食(广海店),金融保险服务;金融保险服务机构;金融保险机构|购物服务;购物相关场所;购物相关场所,160000|060000,[],广海大道东8号金海万利广场F1层,112.906404,23.153662,112.9013611,23.1565205,0757-87755778,广东省,佛山市,三水区,金融保险服务,金融保险服务机构,金融保险机构
B0KAXRFOGR,南山营业,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],知青路与528省道交叉口西南60米,112.862027,23.50738,112.85694091281336,23.51012694341077,[],广东省,佛山市,三水区,金融保险服务,金融保险服务机构,金融保险机构
B0FFHIMFN2,佳安保险(南海官窑锦锋营业部),金融保险服务;保险公司;保险公司|生活服务;生活服务场所;生活服务场所,160400|070000,[],狮山镇官窑瑶平路37号豪景新城54号商铺,113.073004,23.222282,113.06752199164018,23.224757701326084,0757-85891850,广东省,佛山市,南海区,金融保险服务,保险公司,保险公司
B02F50USE0,佛山农商银行(高明新圩支行),金融保险服务;银行;农村商业银行,160121,[],更合镇政通路70号1层,112.614823,22.870162,112.60986655637495,22.87313574882694,0757-88891711,广东省,佛山市,高明区,金融保险服务,银行,农村商业银行
B0IDAR34TT,佛山农商银行24小时自助银行,金融保险服务;金融保险服务机构;金融保险机构,160000,[],政通路70号1座,112.614763,22.870158,112.60980661169856,22.87313179286531,[],广东省,佛山市,高明区,金融保险服务,金融保险服务机构,金融保险机构
B0JK56E5FD,嘉德金,金融保险服务;金融保险服务机构;金融保险机构|商务住宅;商务住宅相关;商务住宅相关,160000|120000,[],白石工业区东侧200米,112.5758,22.813591,112.57084747209836,22.816581503304523,[],广东省,佛山市,高明区,金融保险服务,金融保险服务机构,金融保险机构
B0GUBOPPM3,中国邮政储蓄银行,金融保险服务;银行;中国邮政储蓄银行,160139,[],肇江公路与273省道交叉口东北200米,112.571523,22.806488,112.56656644002472,22.80947641616146,95580,广东省,佛山市,高明区,金融保险服务,银行,中国邮政储蓄银行
B02F508JTT,中国邮政储蓄银行24小时自助银行,金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336,[],惠仁诊所东北侧140米,112.571555,22.806553,112.56659847273215,22.80954143070778,[],广东省,佛山市,高明区,金融保险服务,自动提款机,中国邮政储蓄银行ATM
B0FFG0VPI3,佛山农商银行(高明更合支行),金融保险服务;银行;农村商业银行,160121,[],更合镇更合大道232号1层,112.57019,22.805458,112.56523192814194,22.808445175545824,0757-88841522;0757-88842233,广东省,佛山市,高明区,金融保险服务,银行,农村商业银行
B0FFKUSDXB,中国人寿保险股份有限公司,金融保险服务;保险公司;中国人寿保险公司,160402,[],更合镇升鹤街19铺17号,112.570966,22.805588,112.56600884824232,22.808576073459484,[],广东省,佛山市,高明区,金融保险服务,保险公司,中国人寿保险公司
B02F506M6G,中国农业银行(佛山高明更楼支行),金融保险服务;银行;中国农业银行,160107,[],更合镇工业大道106号,112.58294,22.782562,112.57799490611455,22.78556919309977,0757-88841586,广东省,佛山市,高明区,金融保险服务,银行,中国农业银行
B02F506MB0,佛山农商银行(高明东风支行),金融保险服务;银行;农村商业银行,160121,[],更合镇工业大道510号首层,112.583316,22.779334,112.57837132789857,22.78234251852172,0757-88841596,广东省,佛山市,高明区,金融保险服务,银行,农村商业银行
B0FFG0Z8ZZ,佛山农商银行24小时自助银行(高明东风支行),金融保险服务;自动提款机;农村商业银行ATM,160318,[],更合镇工业大道510号首层,112.5832,22.779367,112.5782552590864,22.7823754320038,[],广东省,佛山市,高明区,金融保险服务,自动提款机,农村商业银行ATM
B0FFMCU7MG,光明村金融服务进村自助服务站,金融保险服务;金融保险服务机构;金融保险机构,160000,[],明八路与525县道交叉口北60米,112.659874,22.790977,112.65484717648236,22.793917416699426,[],广东省,佛山市,高明区,金融保险服务,金融保险服务机构,金融保险机构
B02F506MDC,中国信合(光明分社),金融保险服务;银行;农村商业银行,160121,[],525县道与明八路交叉口东60米,112.660148,22.79056,112.6551206029834,22.793500051477,[],广东省,佛山市,高明区,金融保险服务,银行,农村商业银行
