id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0J0NU3XQY,善贝水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],军民路与里和南路交叉口东120米,113.149621,23.220148,113.1441602,23.22266,[],广东省,佛山市,南海区,风景名胜,公园广场,水族馆
B0KAVHARSN,鱼之乐水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],里横路与里广路交叉口东北360米,113.207114,23.180382,113.2017564,23.1830102,[],广东省,佛山市,南海区,风景名胜,公园广场,水族馆
B0FFH901MG,容桂渔人码头,风景名胜;风景名胜;风景名胜|交通设施服务;港口码头;港口码头|购物服务;商场;商场,110200|150300|060100,[],东堤路16号,113.271077,22.780128,113.2657654,22.7829423,0757-28370106,广东省,佛山市,顺德区,风景名胜,风景名胜,风景名胜
B0FFKDRW63,百塔峰,风景名胜;风景名胜相关;旅游景点|购物服务;购物相关场所;购物相关场所,110000|060000,[],新基现一巷与常安路交叉口西南200米,113.154415,22.702307,113.1489972,22.7050268,[],广东省,佛山市,顺德区,风景名胜,风景名胜相关,旅游景点
B0JR6UKFIM,鱼悦水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],长桥大街与桂洲大道中交叉口北100米,113.271736,22.761827,113.266425,22.7646467,13392760596,广东省,佛山市,顺德区,风景名胜,公园广场,水族馆
B0JRPHHZKZ,瀛海水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],体育南路与体育西路交叉口西80米,113.101402,23.111336,113.0959056,23.1138399,13450822441,广东省,佛山市,南海区,风景名胜,公园广场,水族馆
B02F50YAWY,和院,风景名胜;公园广场;公园|购物服务;购物相关场所;购物相关场所,110101|060000,[],华兴路14号101号对面,112.907191,23.165145,112.9021469,23.1679989,[],广东省,佛山市,三水区,风景名胜,公园广场,公园
B0FFHBJAAC,百塔峰,风景名胜;风景名胜相关;旅游景点|生活服务;生活服务场所;生活服务场所|购物服务;购物相关场所;购物相关场所,110000|070000|060000,[],丹灶镇金沙东村牌坊西联高沙开发区,112.92197,23.106096,112.9169162,23.108965,13889921380;18316571869,广东省,佛山市,南海区,风景名胜,风景名胜相关,旅游景点
B02F50WIYN,岑桑书屋,风景名胜;风景名胜;纪念馆|购物服务;专卖店;书店|科教文化服务;图书馆;图书馆,110204|061205|140500,[],北区北华街1号,113.073381,22.955359,113.0679166,22.9579429,[],广东省,佛山市,顺德区,风景名胜,风景名胜,纪念馆
B0FFF0FHJC,圆明堂,风景名胜;风景名胜;寺庙道观|购物服务;购物相关场所;购物相关场所,110205|060000,[],南东大街6号,113.128175,22.995708,113.1227001,22.9982793,[],广东省,佛山市,禅城区,风景名胜,风景名胜,寺庙道观
B0FFHGK777,菩提阁,风景名胜;风景名胜;寺庙道观|购物服务;购物相关场所;购物相关场所,110205|060000,[],同庆坊南侧60米,113.17409,22.994756,113.1686885,22.9974039,[],广东省,佛山市,南海区,风景名胜,风景名胜,寺庙道观
B0FFK8VA3W,叠峰轩,风景名胜;风景名胜相关;旅游景点|购物服务;购物相关场所;购物相关场所,110000|060000,[],微笑牙科旁边,113.143371,22.999969,113.1379153,23.0025595,0757-83992339,广东省,佛山市,禅城区,风景名胜,风景名胜相关,旅游景点
B0J0KO55X3,龙鱼阿捷水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],沿江路与东翠路交叉口东100米,113.21699,23.01662,113.2116559,23.0193283,[],广东省,佛山市,南海区,风景名胜,公园广场,水族馆
B0KAULQTAK,德希恩水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],盐秀路与东秀南路交叉口南200米,113.206654,23.090583,113.2013018,23.0932463,[],广东省,佛山市,南海区,风景名胜,公园广场,水族馆
