id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0J3GD6PE6,白沙市场报纸店,公共设施;报刊亭;报刊亭|购物服务;购物相关场所;购物相关场所,200100|060000,[],广从公路与大纲领大领路交叉口南80米,113.367322,23.344639,113.3618058,23.3470877,[],广东省,广州市,白云区,公共设施,报刊亭,报刊亭
B0JB3AGIO7,报刊亭,公共设施;报刊亭;报刊亭|购物服务;购物相关场所;购物相关场所,200100|060000,[],站前横路12号,113.253074,23.140954,113.2477487,23.1436297,[],广东省,广州市,荔湾区,公共设施,报刊亭,报刊亭
B0FFFTAQ1L,长隆旅游度假区欢乐世界指定吸烟区,公共设施;公共设施;公共设施|生活服务;生活服务场所;生活服务场所,200000|070000,[],汉溪大道东299号长隆欢乐世界内,113.330195,22.997261,113.32476947040708,22.999898512023623,[],广东省,广州市,番禺区,公共设施,公共设施,公共设施
B0FFHWTB43,怡芳苑人防工程,公共设施;紧急避难场所;紧急避难场所|生活服务;生活服务场所;生活服务场所,200400|070000,[],芳村永乐路23号,113.230599,23.095363,113.22527179135332,23.09805058722254,[],广东省,广州市,荔湾区,公共设施,紧急避难场所,紧急避难场所
B0FFG1U7DQ,广州志愿驿站,公共设施;报刊亭;报刊亭|生活服务;生活服务场所;生活服务场所,200100|070000,[],景泰直街与景泰西二巷交叉口东80米,113.269343,23.160783,113.26400751404266,23.16344402416279,[],广东省,广州市,白云区,公共设施,报刊亭,报刊亭
B0FFF2UP50,公共厕所,公共设施;公共厕所;公共厕所,200300,[],东村路花山华侨中学西北,113.26722,23.422967,113.26186853456214,23.425557983252467,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0JK06PJTY,肯德基厕所,公共设施;公共厕所;公共厕所,200300,[],东华村水汀庄路与菊花石大道交叉口东100米,113.277565,23.441723,113.27220226684128,23.44430314497,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0FFHLSXJF,公共厕所,公共设施;公共厕所;公共厕所,200300,[],菊花石大道与东华村胜九街交叉口南160米,113.278562,23.445666,113.2731978367092,23.448244710219605,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B00141ICJN,公共厕所,公共设施;公共厕所;公共厕所,200300,[],花山镇106国道新和村,113.262764,23.416346,113.25741606979872,23.418940419287104,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0FFG41X4F,公共厕所,公共设施;公共厕所;公共厕所,200300,[],花都大道与乌石岗南一街交叉口西北60米,113.2904,23.436536,113.2850202530622,23.439101314083256,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0JUVS85FS,公厕,公共设施;公共厕所;公共厕所,200300,[],平东南路31号,113.291935,23.431453,113.28655319853354,23.43401675902889,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0I6B5R18B,公共厕所,公共设施;公共厕所;公共厕所,200300,[],南溪新村三巷24号,113.322953,23.434659,113.31751258896912,23.437169113316973,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0FFF29LIH,公共厕所,公共设施;公共厕所;公共厕所,200300,[],三东大道东广州市冠鑫制罐有限公司,113.260067,23.413605,113.25472075178897,23.416200989007816,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0FFH9GOIW,推广公共厕所,公共设施;公共厕所;公共厕所,200300,[],花东镇象山村推广三街4号(富民路与朝富三街交叉口北100米),113.330358,23.439545,113.32490197911332,23.44204043380691,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0JK7RT65Z,公共厕所,公共设施;公共厕所;公共厕所,200300,[],杨村街与平东东路交叉口北80米,113.295129,23.42823,113.28974222610891,23.430789481987684,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0FFGIOKHB,公共厕所,公共设施;公共厕所;公共厕所,200300,[],朝兴路与象山大街交叉口北140米,113.333486,23.440707,113.32802348076052,23.44319635079468,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0FFHCUCHF,公共厕所,公共设施;公共厕所;公共厕所,200300,[],新和革新北街与新和革新街交叉口西北280米,113.255115,23.416022,113.24977059106128,23.418619108941453,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0ID4HN9YR,公共厕所,公共设施;公共厕所;公共厕所,200300,[],南溪定溪庄西街11号,113.324686,23.439856,113.31924165974404,23.442362224373007,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
B0FFL0430T,洗手间,公共设施;公共厕所;公共厕所,200300,[],黄槐路广州融创乐园内(东侧),113.243768,23.429758,113.2384235653329,23.43235314850191,[],广东省,广州市,花都区,公共设施,公共厕所,公共厕所
