id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFHC7AUN,泽金车行,摩托车服务;摩托车销售;摩托车销售|汽车服务;汽车服务相关;汽车服务相关,040100|010000,[],新华镇云山大道14号-2-3-4-5,113.207322,23.380941,113.20195109866452,23.38351205140985,[],广东省,广州市,花都区,摩托车服务,摩托车销售,摩托车销售
B0G2M105AM,思锐车行,摩托车服务;摩托车销售;摩托车销售|汽车服务;汽车服务相关;汽车服务相关,040100|010000,[],天桥大路,113.560417,23.120322,113.55529436074124,23.123157810746733,13145760120,广东省,广州市,增城区,摩托车服务,摩托车销售,摩托车销售
B0FFIN7C1H,广州大邦(大岗店),摩托车服务;摩托车销售;摩托车销售|汽车销售;汽车销售;汽车销售,040100|020000,[],大岗镇兴业路37号瑞华苑1017号,113.404689,22.799959,113.39918697859656,22.80258863631966,13725385668,广东省,广州市,南沙区,摩托车服务,摩托车销售,摩托车销售
B0K61DOXS5,广州赛信贸易连锁有限公司执信南路分店,摩托车服务;摩托车销售;摩托车销售|汽车销售;汽车销售;汽车销售,040100|020000,[],竹丝岗二马路与执信南路交叉口西北120米,113.292236,23.128062,113.28687427962912,23.13071081391976,[],广东省,广州市,越秀区,摩托车服务,摩托车销售,摩托车销售
B0FFJXSREN,大邦机车汇,摩托车服务;摩托车销售;摩托车销售|汽车销售;汽车销售;汽车销售|购物服务;购物相关场所;购物相关场所,040100|020000|060000,[],榄核镇蔡新路351号A107号,113.339016,22.832144,113.3335837392811,22.834832758920765,[],广东省,广州市,南沙区,摩托车服务,摩托车销售,摩托车销售
B00141VJ8V,良口镇豪爵铃木销售服务店,摩托车服务;摩托车销售;摩托车销售,040100,[],良口镇新城南路190号,113.731722,23.715686,113.72647744935864,23.71830058561037,13710971718,广东省,广州市,从化区,摩托车服务,摩托车销售,摩托车销售
B0FFG62B6M,欣喜摩托车配件店,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],二区二街与怡乐路交叉口西50米,113.73028,23.703369,113.72503658198312,23.70598187350528,13711562816,广东省,广州市,从化区,摩托车服务,摩托车服务相关,摩托车服务相关
B0J07ZG5OO,溪头村自由骑士驿站,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],联溪街669号,113.866439,23.714512,113.8614460107794,23.717278854861807,[],广东省,广州市,从化区,摩托车服务,摩托车服务相关,摩托车服务相关
B0IUG95KAX,摩托配件,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],从都宿舍西北侧100米,113.666433,23.674384,113.66126383845403,23.67708900528553,[],广东省,广州市,从化区,摩托车服务,摩托车服务相关,摩托车服务相关
B0G3ZMP99D,从化吕田易发摩托车配件店,摩托车服务;摩托车维修;摩托车维修,040200,[],吕田镇广新路76号,113.951833,23.810797,113.94686207574004,23.813560552763665,020-87856312;13533558868,广东省,广州市,从化区,摩托车服务,摩托车维修,摩托车维修
B0FFGDD6GZ,飞腾摩托车维修部,摩托车服务;摩托车维修;摩托车维修,040200,[],潖江路与龙潭大道交叉口西60米,113.41168,23.666183,113.4061210864721,23.66860063115066,[],广东省,广州市,从化区,摩托车服务,摩托车维修,摩托车维修
B0HBRM68UR,威威摩托维修,摩托车服务;摩托车维修;摩托车维修,040200,[],赤坭镇白坭街72号,113.024671,23.420812,113.01929583792553,23.423338196877705,[],广东省,广州市,花都区,摩托车服务,摩托车维修,摩托车维修
B0JUMS1LGH,宏安修理店,摩托车服务;摩托车维修;摩托车维修,040200,[],鳌头镇广州克莱斯特办公大楼旁,113.437966,23.607211,113.43244379287307,23.60964695741777,[],广东省,广州市,从化区,摩托车服务,摩托车维修,摩托车维修
B0FFGY6Q1T,文记摩托车维修部,摩托车服务;摩托车维修;摩托车维修,040200,[],鳌头镇鳌头镇人和市场斜对面,113.448056,23.599075,113.44255557878869,23.601528119531856,[],广东省,广州市,从化区,摩托车服务,摩托车维修,摩托车维修
B0JUMS3HHV,光辉汽车修理厂,摩托车服务;摩托车维修;摩托车维修,040200,[],鳌头镇白兔村海纳川包装设备厂旁边,113.436181,23.612032,113.43065517990765,23.61446571609445,[],广东省,广州市,从化区,摩托车服务,摩托车维修,摩托车维修
B0FFL5ACBC,大顺摩托车,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],鳌头镇人和二桥龙角路口,113.448413,23.60462,113.44291302436233,23.60707435960666,13711152403,广东省,广州市,从化区,摩托车服务,摩托车服务相关,摩托车服务相关
B0FFFAIMBN,细国摩托车维修部,摩托车服务;摩托车维修;摩托车维修,040200,[],鳌头镇(农商银行对面),113.423042,23.619814,113.41749621517022,23.622232542261617,13710989239,广东省,广州市,从化区,摩托车服务,摩托车维修,摩托车维修
B0FFK54R47,荣记车行,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],祥丰北路与狮岭大道中交叉口东北180米,113.186246,23.451026,113.18083597588516,23.453552575335465,15920418282,广东省,广州市,花都区,摩托车服务,摩托车服务相关,摩托车服务相关
B0FFGIT81H,高记摩托配件,摩托车服务;摩托车销售;摩托车销售,040100,[],524乡道从化西洋酒厂直销部旁,113.430901,23.618698,113.42536590210835,23.621125115610408,[],广东省,广州市,从化区,摩托车服务,摩托车销售,摩托车销售
B00140NQDU,雄记摩托车电动车修配部,摩托车服务;摩托车维修;摩托车维修,040200,[],狮岭大道中39号,113.182215,23.451037,113.17679762910376,23.453556182138644,15919603188,广东省,广州市,花都区,摩托车服务,摩托车维修,摩托车维修
B0FFHWICZ7,标记车行(望成路店),摩托车服务;摩托车维修;摩托车维修,040200,[],狮岭镇望成路,113.182094,23.447412,113.1766766542022,23.44993131610801,15989219813,广东省,广州市,花都区,摩托车服务,摩托车维修,摩托车维修
B0FFFSYZEV,日进摩托车配件店,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],鳌头前进北路12号,113.429452,23.619035,113.42391469439958,23.621460346332967,020-87875849;13602217939,广东省,广州市,从化区,摩托车服务,摩托车服务相关,摩托车服务相关
B0FFGP2I6O,军工大河大阳三轮摩托车零售批发,摩托车服务;摩托车销售;摩托车销售,040100,[],南航路怡家商务酒店隔壁,113.184928,23.457018,113.1795151815687,23.459541620083485,13760881181;15622158988,广东省,广州市,花都区,摩托车服务,摩托车销售,摩托车销售
B0FFFW7P2Z,威记摩托车配件维修,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],鳌头中学路口,113.416875,23.622909,113.41132282848962,23.625323010417222,[],广东省,广州市,从化区,摩托车服务,摩托车服务相关,摩托车服务相关
B0J1VP0OOU,大运三轮摩托,摩托车服务;摩托车销售;摩托车销售,040100,[],南航大道南与合成村武广安置区二街交叉口东北40米,113.184868,23.457098,113.17945506710616,23.45962150330552,13760881181,广东省,广州市,花都区,摩托车服务,摩托车销售,摩托车销售
B0KB5LE273,俊邦车行,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],鳌头镇宝锋一路中威科技门口直走一百米十字路口右转,113.450485,23.610032,113.44498957702795,23.61249111274261,[],广东省,广州市,从化区,摩托车服务,摩托车服务相关,摩托车服务相关
