id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0GK7AYTUU,完美汽车维修服务中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],炭步镇繁华路,113.108836,23.331461,113.10332520043892,23.33389305016477,13539400512;13662499600,广东省,广州市,花都区,汽车维修,汽车综合维修,汽车综合维修
B0FFJ1JVNY,荣禧汽修配汽车钥匙(全天救援搭电),汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],中新镇新墩路11号,113.621827,23.283137,113.61673819487896,23.2859340912222,13533574752,广东省,广州市,增城区,汽车维修,汽车综合维修,汽车综合维修
B0FFFAHKT6,车佳维修厂,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场,030100|010400|010500,[],石滩镇马修村立新西路105号,113.782023,23.181273,113.77685767465904,23.183948184530948,13480272635,广东省,广州市,增城区,汽车维修,汽车综合维修,汽车综合维修
B00141KC2Y,真功汽车服务中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],中新镇新中大道102号,113.615727,23.290781,113.61064073601106,23.29358114297484,[],广东省,广州市,增城区,汽车维修,汽车综合维修,汽车综合维修
B0FFG4IGY0,沙庄广达农机维修部,汽车维修;货车维修;货车维修|汽车服务;汽车服务相关;汽车服务相关,035000|010000,[],石滩镇江龙大道中63号,113.828917,23.137158,113.82386763074255,23.139926910524245,[],广东省,广州市,增城区,汽车维修,货车维修,货车维修
B0FFIAD2CV,超超汽车维修,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],花东镇保良村5队三巷1号(金谷南路口),113.356404,23.420872,113.3508992785302,23.42332294755333,13160840746;18122720821,广东省,广州市,花都区,汽车维修,汽车综合维修,汽车综合维修
B0G39YMEXR,车尚美汽车美容养护中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],狮岭镇新民幼儿园对面,113.215072,23.469575,113.20970512757228,23.47214492708539,020-36919832,广东省,广州市,花都区,汽车维修,汽车综合维修,汽车综合维修
B0FFLO7TZ1,广州江丰长安技术服务中心,汽车维修;长安汽车维修;长安汽车维修|汽车服务;汽车服务相关;汽车服务相关,033100|010000,[],江人一路与松岗街三巷交叉口西南20米,113.240708,23.280023,113.23537305850849,23.282648844868483,020-86209903,广东省,广州市,白云区,汽车维修,长安汽车维修,长安汽车维修
B00141JTQ9,地勤24小时补胎搭电汽车维修中心,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护,030100|010400,[],人和镇广州新白云国际机场空港三路与横四路交汇处,113.303951,23.374326,113.29855234182376,23.37687990145361,[],广东省,广州市,白云区,汽车维修,汽车综合维修,汽车综合维修
B0FFFRHNAG,江高金杯汽车服务部,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],江高镇夏花三路悦发广场,113.228478,23.279007,113.22313697580353,23.28162620097474,13794341314,广东省,广州市,白云区,汽车维修,汽车维修,汽车维修
