id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFGHM633,广州中升增悦雷克萨斯汽车销售服务有限公司,汽车销售;丰田特约销售;雷克萨斯销售|汽车维修;丰田特约维修;雷克萨斯维修|汽车服务;二手车交易;二手车交易,021003|031103|011000,[],广汕公路朱村大道西133号,113.682732,23.273969,113.6775643396947,23.27666871860722,020-66266999;13822215199;15013317724,广东省,广州市,增城区,汽车销售,丰田特约销售,雷克萨斯销售
B0FFFAH4L1,广州市利骏运输有限公司,汽车销售;日产特约销售;郑州日产销售|汽车服务;汽车服务相关;汽车服务相关,020702|010000,[],朱村街朱村大道中,113.72507,23.274958,113.71985725214728,23.277594776861644,020-32160323;020-32166268,广东省,广州市,增城区,汽车销售,日产特约销售,郑州日产销售
B0FFK7972N,乘龙汽车(广州专营店),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],G106(京广线),113.2691,23.431942,113.26374639786624,23.434530566320984,[],广东省,广州市,花都区,汽车销售,汽车销售,汽车销售
B0FFLJHH7A,中顺车行,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],G324(福昆线),113.773825,23.281332,113.76863907451757,23.28396554088103,13250213898,广东省,广州市,增城区,汽车销售,汽车销售,汽车销售
B0I6C7NE0Y,飞凡汽车,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],云城东路万达广场一楼1172-1173A铺,113.266235,23.171836,113.26090124684698,23.17449488432357,15920124355;19928317521,广东省,广州市,白云区,汽车销售,汽车销售,汽车销售
B0H1CL3ZZ8,舒玛贺汽车,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],石楼镇石清公路9号之三,113.486633,22.958148,113.48129057179447,22.960859373040577,020-84880558,广东省,广州市,番禺区,汽车销售,汽车销售,汽车销售
B0I6SRPLRM,中国重汽·汕德卡,汽车销售;中国重汽销售;中国重汽销售|汽车服务;汽车服务相关;汽车服务相关,025200|010000,[],开发大道与将军山二路交叉口北280米,113.520379,23.092227,113.51514485556996,23.09498124695523,[],广东省,广州市,黄埔区,汽车销售,中国重汽销售,中国重汽销售
B0FFLF8Z5N,广州卓越汽贸有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],狮岭大道中81号-7,113.187826,23.448688,113.18241896914728,23.45121765560757,13640822298,广东省,广州市,花都区,汽车销售,汽车销售,汽车销售
B00141KFMK,宇通客车广州销售服务中心(永昌路),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],永昌路15号,113.194188,23.413783,113.18879441739068,23.416328032525485,020-86896560;18530068535,广东省,广州市,花都区,汽车销售,汽车销售,汽车销售
B00141KAAG,田丰车行,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],河东南路155号,113.598928,23.532758,113.59382612444296,23.535530404588165,020-37989928;13926114491,广东省,广州市,从化区,汽车销售,汽车销售,汽车销售
B0I1PRQ1O0,电车之家(超洁亮商城店),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],鹤龙七路339号,113.287079,23.341311,113.28171069926287,23.34389718604096,15989034148,广东省,广州市,白云区,汽车销售,汽车销售,汽车销售
B0JAOSX2X2,全顺汽车(广州顺福铃4S店),汽车销售;福特特约销售;福特销售|汽车维修;福特特约维修;福特维修|汽车服务;汽车服务相关;汽车服务相关,021800|031900|010000,[],广从三路670号,113.358806,23.319673,113.35330428894495,23.32213983990594,020-86057718;020-86058966,广东省,广州市,白云区,汽车销售,福特特约销售,福特销售
