id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFI1SWPK,公厕3,公共设施;公共厕所;公共厕所|购物服务;购物相关场所;购物相关场所,200300|060000,[],公园路龙华公园(西南角),114.016232,22.656568,114.0111894,22.6593707,[],广东省,深圳市,龙华区,公共设施,公共厕所,公共厕所
B0HRVL60QW,007避震服务中心,公共设施;公共设施;公共设施|生活服务;生活服务场所;生活服务场所,200000|070000,[],观景路与观和路交叉口西北200米,114.089382,22.707614,114.08424311630915,22.710268758635607,[],广东省,深圳市,龙华区,公共设施,公共设施,公共设施
B0FFFP9VT2,建安社区服务中心,公共设施;紧急避难场所;紧急避难场所|生活服务;生活服务场所;生活服务场所,200400|070000,[],兴华二路73-57号,113.903197,22.565554,113.89833126123112,22.5686054400512,[],广东省,深圳市,宝安区,公共设施,紧急避难场所,紧急避难场所
B0FFHF6AGT,建安社区工作站,公共设施;紧急避难场所;紧急避难场所|生活服务;生活服务场所;生活服务场所,200400|070000,[],10区冠城世家,113.903261,22.565502,113.89839530556854,22.568553441321125,0755-27758708,广东省,深圳市,宝安区,公共设施,紧急避难场所,紧急避难场所
B0J2MXOTU5,海跨海(吸烟室),公共设施;公共设施;公共设施|生活服务;生活服务场所;生活服务场所,200000|070000,[],捷威工业园3栋4楼,114.121657,22.672591,114.11655408565552,22.67526427366631,[],广东省,深圳市,龙岗区,公共设施,公共设施,公共设施
B0FFHBSSFK,三联公厕垃圾中转站,公共设施;公共厕所;公共厕所|生活服务;生活服务场所;生活服务场所,200300|070000,[],龙博路与三联大道交叉口东南60米,114.116895,22.621548,114.1117876246052,22.624227315092377,[],广东省,深圳市,龙岗区,公共设施,公共厕所,公共厕所
B0KDMC9116,温馨小单间带独立阳台方便卫生图片实图拍摄,公共设施;公共设施;公共设施|生活服务;生活服务场所;生活服务场所,200000|070000,[],梅岗街与田心村一街交叉口西20米,114.111313,22.567026,114.10620120974194,22.56970891696508,[],广东省,深圳市,罗湖区,公共设施,公共设施,公共设施
B0K62HXS8N,华明路-邮政信筒,公共设施;报刊亭;报刊亭|风景名胜;风景名胜相关;旅游景点,200100|110000,[],华明路与南商路交叉口西北20米,113.927793,22.507827,113.92293225420433,22.51086689956824,[],广东省,深圳市,南山区,公共设施,报刊亭,报刊亭
B0FFG85SL9,爱心报刊亭,公共设施;报刊亭;报刊亭,200100,[],圣宝路与碧头工业大道交叉口北20米,113.80777,22.775548,113.8026883807362,22.77842495938672,[],广东省,深圳市,宝安区,公共设施,报刊亭,报刊亭
B0K6XDXP1P,高速辅道转运站附属公厕,公共设施;公共厕所;公共厕所,200300,[],许屋路,113.808104,22.778824,113.8030230081479,22.78170045216077,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0J2PZ4C08,公共厕所(无障碍),公共设施;公共厕所;公共厕所,200300,[],高速辅道,113.807995,22.778901,113.8029137285903,22.78177723689369,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0J2P52ZLO,碧头笫三工业区转运站附属公共厕所,公共设施;公共厕所;公共厕所,200300,[],碧头三工业区三路2号,113.805633,22.779621,113.80054578440408,22.782492934099547,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0KGAZMH55,碧头社区党群服务中心公厕,公共设施;公共厕所;公共厕所,200300,[],碧清路,113.811304,22.781475,113.80623098259392,22.784356207801693,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0FFGTHKUZ,公共厕所,公共设施;公共厕所;公共厕所,200300,[],创业二路与高速桥辅道交叉口东150米,113.815143,22.773292,113.81008048414532,22.77618286644781,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0J24C5D0T,碧头社区公园无障碍公共厕所,公共设施;公共厕所;公共厕所,200300,[],碧头社区公园内(西侧),113.814074,22.779707,113.80900827212216,22.782593791118344,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0JDUALA6D,碧头社区公园公厕,公共设施;公共厕所;公共厕所,200300,[],松岗街道碧头社区公园内(西侧),113.8142,22.779697,113.80913460153148,22.782584023592104,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0HA6B5G4L,公共厕所,公共设施;公共厕所;公共厕所,200300,[],碧头老村委对面,113.814402,22.781224,113.8093370297871,22.78411088011129,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0J2PHBT98,朗碧路公共厕所,公共设施;公共厕所;公共厕所,200300,[],碧头南路315号,113.814402,22.781275,113.8093370264734,22.784161863005032,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0IRHLSUOG,宝安区江边社康公厕,公共设施;公共厕所;公共厕所,200300,[],朗业路,113.817804,22.773487,113.81274848511268,22.77638270237452,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0IRHLWEMS,江边村站公厕(内部专用),公共设施;公共厕所;公共厕所,200300,[],松岗广深交汇处江边村站首未站,113.821844,22.772527,113.81679931843708,22.775430560764047,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0J2PAAMI2,公共厕所(无障碍),公共设施;公共厕所;公共厕所,200300,[],沿河路与锦隆路交叉口东260米,113.814994,22.787439,113.80993017470392,22.790324859704967,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0I1DZS3Y1,沙浦围茅洲河公厕,公共设施;公共厕所;公共厕所,200300,[],沙浦围三路,113.819372,22.765504,113.81432116798534,22.76840521488004,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B02F37UZHT,朗下广场-公共厕所,公共设施;公共厕所;公共厕所,200300,[],松岗街道朗碧路朗下广场附近,113.82342,22.775021,113.81837938863625,22.77792670707552,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0JDUAGCUM,碧头地铁站E口公厕,公共设施;公共厕所;公共厕所,200300,[],碧头地铁站E口,113.820196,22.785081,113.81514609528772,22.78797728628289,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0FFFDMYXE,肯德基洗手间,公共设施;公共厕所;公共厕所,200300,[],朗碧路中海·西岸华府-南区,113.822683,22.7695,113.81764076573717,22.77240612800803,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0FFHLSXRA,公共厕所(无障碍),公共设施;公共厕所;公共厕所,200300,[],宝安大道辅路与金菊路交叉口南240米,113.806278,22.671243,113.80119942695872,22.674146694369785,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0J2LZRZ6F,福桥轻松驿站智慧公厕,公共设施;公共厕所;公共厕所,200300,[],福侨人行天桥,113.806418,22.671308,113.80133977085772,22.67421191941682,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0IRHLQI6K,福永地铁站C口公厕,公共设施;公共厕所;公共厕所,200300,[],福永地铁站C口,113.806507,22.672829,113.8014288937217,22.67573272605549,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0FFLJ92WA,公共厕所,公共设施;公共厕所;公共厕所,200300,[],天福路2号,113.804112,22.67035,113.79902814666924,22.673250228745264,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0IRHLTORR,鹏州加油站公厕,公共设施;公共厕所;公共厕所,200300,[],永福路,113.805095,22.669435,113.80001361738935,22.67233708902977,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0J23U29NV,公共厕所,公共设施;公共厕所;公共厕所,200300,[],福洲大道101号,113.809411,22.674597,113.80434008303556,22.67750536748706,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0JDUAFPNW,福永地铁站12号线站台公厕,公共设施;公共厕所;公共厕所,200300,[],福洲大道(地铁12号线站台),113.807868,22.67527,113.80279314038268,22.67817551464724,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0FFG7L2AP,顺发公话卡行,公共设施;公用电话;公用电话,200200,[],福永镇新田旧村5巷10号,113.810779,22.672457,113.8057117107322,22.67536827779238,[],广东省,深圳市,宝安区,公共设施,公用电话,公用电话
B02F38I999,公共厕所,公共设施;公共厕所;公共厕所,200300,[],宝安大道辅路与蚝业路交叉口南200米,113.805743,22.677617,113.80066268660954,22.680518314410715,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0J24H1QF3,公共厕所(无障碍),公共设施;公共厕所;公共厕所,200300,[],天福路26号19栋,113.805747,22.677629,113.80066669573247,22.680530318417286,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0IRHLX1MB,富桥转运站公厕,公共设施;公共厕所;公共厕所,200300,[],宝安大道辅路,113.805484,22.677669,113.80040304276964,22.6805698618436,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0FFH7Z7N1,中国电信公话超市,公共设施;公用电话;公用电话,200200,[],悦盛一路7-2号附近,113.805721,22.666343,113.8006413633376,22.669246839995605,[],广东省,深圳市,宝安区,公共设施,公用电话,公用电话
B0FFGY3OZJ,福永敬老院应急避险场所,公共设施;紧急避难场所;紧急避难场所,200400,[],福新街1号,113.811988,22.668391,113.80692408106827,22.671305354530546,[],广东省,深圳市,宝安区,公共设施,紧急避难场所,紧急避难场所
B0FFFDG8LU,深圳杰豪皇庭酒店-洗手间,公共设施;公共厕所;公共厕所,200300,[],福永街道福永社区立新路16号深圳杰豪皇庭酒店,113.813393,22.673553,113.80833238357212,22.676468718896214,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0JK06QD8B,深圳市室内应急避难场所,公共设施;紧急避难场所;紧急避难场所,200400,[],马山二路与福一路交叉口东260米,113.814071,22.67114,113.80901230399512,22.674057498538264,[],广东省,深圳市,宝安区,公共设施,紧急避难场所,紧急避难场所
B0FFGMI8V7,天天惠公用电话亭,公共设施;公共设施;公共设施,200000,[],福海大道同富裕工业区38-8,113.799602,22.672847,113.7945071813392,22.67573930324516,[],广东省,深圳市,宝安区,公共设施,公共设施,公共设施
B02F38PQSX,福新小学应急避险场所(远东东路),公共设施;紧急避难场所;紧急避难场所,200400,[],远东东路6号,113.80584,22.665026,113.80076074335211,22.66793033271388,[],广东省,深圳市,宝安区,公共设施,紧急避难场所,紧急避难场所
B0FFLGQAAU,公话超市,公共设施;公用电话;公用电话,200200,[],同泰总部产业园西北侧70米,113.804982,22.679431,113.79989969074424,22.68233059792676,[],广东省,深圳市,宝安区,公共设施,公用电话,公用电话
B0FFHCTZC8,紧急避难场所(西环路),公共设施;紧急避难场所;紧急避难场所,200400,[],福永西环路与福永裕华路交叉口西北20米,113.811988,22.665546,113.80692426523711,22.66846098523173,[],广东省,深圳市,宝安区,公共设施,紧急避难场所,紧急避难场所
B02F38PQBX,福永社区居委会应急避险场所,公共设施;紧急避难场所;紧急避难场所,200400,[],福永西环路与福永裕华路交叉口西40米,113.81181,22.665453,113.80674581249328,22.66836768659519,[],广东省,深圳市,宝安区,公共设施,紧急避难场所,紧急避难场所
B0JAAMHQXT,无障碍公共厕所,公共设施;公共厕所;公共厕所,200300,[],宝安大道6003号,113.809856,22.663859,113.80478691036456,22.666770559755257,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0IRHLSF60,福海海鲜市场公厕,公共设施;公共厕所;公共厕所,200300,[],福永大道65号,113.808631,22.663694,113.80355881355491,22.66660344327464,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
B0JAAM7VZF,公共厕所,公共设施;公共厕所;公共厕所,200300,[],宝安大道6003号,113.809986,22.663712,113.8049172510779,22.66662382148081,[],广东省,深圳市,宝安区,公共设施,公共厕所,公共厕所
