id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0I1ACEEAP,蜂弛车业,摩托车服务;摩托车维修;摩托车维修|汽车销售;汽车销售;汽车销售,040200|020000,[],新桥街道黄埔社区洪田坑尾塘路二巷6号204,113.856011,22.710231,113.85105981499552,22.713215067669235,[],广东省,深圳市,宝安区,摩托车服务,摩托车维修,摩托车维修
B0FFF4NKT4,威煌摩托车维修部,摩托车服务;摩托车维修;摩托车维修,040200,[],大鹏新区南澳街道枫球山5-1号,114.490088,22.534707,114.48534781613547,22.537541456486004,[],广东省,深圳市,龙岗区,摩托车服务,摩托车维修,摩托车维修
B0JU31EFCO,小李维修店,摩托车服务;摩托车维修;摩托车维修,040200,[],月亮湾大道2016号深港驾校旁,113.894913,22.506433,113.89004407718168,22.50948689507269,[],广东省,深圳市,南山区,摩托车服务,摩托车维修,摩托车维修
B0K6ODUA86,机甲大师俱乐部,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],海运路与邮轮大道交叉口东南140米,113.913483,22.468433,113.9086274823353,22.47148473292206,[],广东省,深圳市,南山区,摩托车服务,摩托车服务相关,摩托车服务相关
B0J041YSBQ,玫瑰骑士,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],水湾社区望海路海上世界船前广场3栋负一楼B013,113.916589,22.483791,113.91173275418583,22.486841227235168,[],广东省,深圳市,南山区,摩托车服务,摩托车服务相关,摩托车服务相关
B0HGCHIAGS,阿普利亚摩托古兹深圳智赢机车,摩托车服务;摩托车销售;摩托车销售,040100,[],宝悠路蓝湾海岸大厦2栋101-105,113.866049,22.557962,113.86113028103532,22.560988485417283,15387550566,广东省,深圳市,宝安区,摩托车服务,摩托车销售,摩托车销售
B0FFMHQUKU,杜卡迪深圳中心,摩托车服务;摩托车销售;摩托车销售,040100,[],桂湾五路深港基金小镇128号,113.904695,22.528742,113.89983249585124,22.53179600663505,13580307547,广东省,深圳市,南山区,摩托车服务,摩托车销售,摩托车销售
B0J2TNSO7M,小何车屋,摩托车服务;摩托车服务相关;摩托车服务相关,040000,[],南水村19号(水湾地铁站C口步行200米),113.922014,22.488734,113.91715674616172,22.491780026992085,[],广东省,深圳市,南山区,摩托车服务,摩托车服务相关,摩托车服务相关
B0H1R58IDR,D-STARS摩托车装备体验购物中心,摩托车服务;摩托车销售;摩托车销售,040100,[],桂湾五路128号基金小镇,113.904942,22.528993,113.90007961989195,22.53204696221959,[],广东省,深圳市,南山区,摩托车服务,摩托车销售,摩托车销售
B0J0FXOL97,YOOZ售后服务中心,摩托车服务;摩托车维修;摩托车维修,040200,[],宝源路1065号F518时尚创意园F9栋1楼,113.861088,22.564986,113.8561579251473,22.56800485391931,[],广东省,深圳市,宝安区,摩托车服务,摩托车维修,摩托车维修
