id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0JBUADI6G,永至出行网约车交付中心,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],广田路242号103,113.841728,22.801382,113.83673485294928,22.804313057390463,18922875805,广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0IDRHHW56,靓车屋新能源汽车交易中心,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],新玉大道1号,113.853383,22.731189,113.84842410602153,22.734162958442493,13828878588,广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0FFK2XIUS,建达平安车行,汽车销售;汽车销售;汽车销售|汽车服务;二手车交易;二手车交易,020000|011000,[],光明路38-1号,113.921341,22.690368,113.91647115825177,22.69338919356456,15622285188,广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0FFI7QVL9,景浩汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],东方一路84号东鸿京大厦F1层,113.850172,22.757386,113.84520345506256,22.76034665716721,18825280101,广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0FFI1WIJO,深圳市奔宝汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],后亭社区沙松路113号,113.824279,22.759883,113.8192416807311,22.76279522699336,0755-27223189;13590147918,广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0FFINGGBB,龙鼎汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],河滨南路50号,113.839247,22.768644,113.83424939856356,22.77158158639201,13632768887,广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0FFKHU92Z,深圳市鼎裕汽车销售有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],西乡宝民二路303号,113.872529,22.594537,113.86762109112068,22.597567482324447,13826579717,广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0FFF3S6KH,深圳市宝创森那美汽车销售服务有限公司宝安区分公司,汽车销售;宝马特约销售;宝马销售|汽车服务;二手车交易;二手车交易|汽车维修;汽车维修;汽车维修,020600|011000|030000,[],西乡大道27号正泰商业大厦1层,113.890378,22.589442,113.88549872946004,22.592487940567853,0755-29965077;0755-29985077;0755-29985080,广东省,深圳市,宝安区,汽车销售,宝马特约销售,宝马销售
B0J1DS053W,特斯拉TESLA试驾体验中心,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],创业二路与新安三路交汇处,113.910636,22.573923,113.90577320245652,22.57697191692454,13642809055;18676665229,广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0FFK8UXQR,车域通城市展厅(宝民店),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],宝民一路286号-38号,113.889709,22.574462,113.88482984901655,22.577509381006752,13502860983,广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0FFH67SNH,鸿盛泰名车,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],107国道19号生力机电1层,113.885969,22.574564,113.8810848586332,22.577609164171577,[],广东省,深圳市,宝安区,汽车销售,汽车销售,汽车销售
B0FFJOULLA,车工坊深圳安骅(龙岗店),汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],龙岗街道新生路310号,114.262998,22.742323,114.25816697438523,22.745147183024347,0755-28282310,广东省,深圳市,龙岗区,汽车销售,汽车销售,汽车销售
B0FFHFHMN2,北汽新能源深圳龙南服务站(深圳龙南店),汽车销售;北京汽车销售;北京汽车销售|汽车维修;北京汽车维修;北京汽车维修|汽车服务;汽车服务相关;汽车服务相关,023200|033300|010000,[],清华路,114.036695,22.677855,114.03160577074055,22.68059701814225,0755-23283011;0755-27999699,广东省,深圳市,龙华区,汽车销售,北京汽车销售,北京汽车销售
B0JAO7WQ7Q,麒领名车汇,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],宝湖新村C栋祥利路34号,114.037377,22.673145,114.03228675246596,22.675886415808613,13249078389,广东省,深圳市,龙华区,汽车销售,汽车销售,汽车销售
B0FFM5OU0C,新永利(深圳)汽车贸易有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关|购物服务;购物相关场所;购物相关场所,020000|010000|060000,[],北环大道1022号概念空间一楼,114.084192,22.570571,114.0790611760502,22.57325415184143,0755-83021749;13049411458,广东省,深圳市,罗湖区,汽车销售,汽车销售,汽车销售
B0FFF082QD,深圳市永亨通汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],钱排村停车场,114.108097,22.590248,114.10297970272666,22.59292667952528,13802571053;13808858224,广东省,深圳市,龙岗区,汽车销售,汽车销售,汽车销售
B0FFK2TXGC,深圳市德讯达汽车维修服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],东昌路金迪名苑104-105号,114.135904,22.575537,114.130835560366,22.578243663774053,13713587673,广东省,深圳市,罗湖区,汽车销售,汽车销售,汽车销售
B0FFF5W46R,深圳市中汽腾龙汽车服务有限公司,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关,020000|010000,[],上梅林中康北梅坳二路通大汽车广场,114.057547,22.577067,114.05243120427082,22.57978173842078,[],广东省,深圳市,福田区,汽车销售,汽车销售,汽车销售
B0HAD6DB75,小鹏汽车深圳坪山益田假日体验中心,汽车销售;汽车销售;汽车销售|汽车服务;汽车服务相关;汽车服务相关|汽车维修;汽车维修;汽车维修,020000|010000|030000,[],深汕路394号(六和地铁站B1口步行180米),114.338858,22.693234,114.33395244578873,22.695959774978284,0755-89660149,广东省,深圳市,坪山区,汽车销售,汽车销售,汽车销售
B0FFLDB2RT,江西金沙冷藏车定制中心,汽车销售;货车销售;货车销售|汽车服务;汽车服务相关;汽车服务相关,025000|010000,[],诺尚工业园东侧210米,114.277608,22.708085,114.27277600718982,22.710907872093724,[],广东省,深圳市,龙岗区,汽车销售,货车销售,货车销售
B0FFJ5FVRL,深圳市为众达汽车贸易有限公司龙华店,汽车销售;长城汽车销售;魏派汽车销售|汽车维修;长城汽车维修;魏派汽车维修|汽车服务;汽车服务相关;汽车服务相关,023301|033401|010000,[],龙华新区大浪街道布龙路与鹊山路口交汇处富奇时代A.B栋,114.001743,22.659572,113.99673635193145,22.662417399323694,0755-21000668,广东省,深圳市,龙华区,汽车销售,长城汽车销售,魏派汽车销售
