id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0I0HLT3KP,侣行租车深圳,虚拟数据;虚拟数据;虚拟数据,980000,[],尖峰山,113.809984,22.406958,113.8049317923347,22.40988421275374,18002564032,广东省,深圳市,南山区,虚拟数据,虚拟数据,虚拟数据
B0J6BUWZ7F,侣行租车,虚拟数据;虚拟数据;虚拟数据,980000,[],蛇口街道尖峰山,113.809984,22.406958,113.8049317923347,22.40988421275374,[],广东省,深圳市,南山区,虚拟数据,虚拟数据,虚拟数据
B0J6BC09FS,机场北地铁站,虚拟数据;虚拟数据;虚拟数据,980000,[],机场北地铁站E口步行90米,113.797993,22.65127,113.79289584042242,22.6541644387311,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0JGBNZJ35,深圳-奔驰-四通,虚拟数据;虚拟数据;虚拟数据,980000,[],新和村富桥第三工业区A16栋,113.79758,22.668049,113.7924808001126,22.67093922078808,13902445258,广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BUV9TX,福永地铁站送车点-喜途,虚拟数据;虚拟数据;虚拟数据,980000,[],宝安大道旁(地铁11号线福永站B出口),113.798813,22.666637,113.79371674182435,22.669529453914635,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BC0H2U,深圳-奔驰,虚拟数据;虚拟数据;虚拟数据,980000,[],新和村富桥第三工业区A16栋,113.79758,22.668049,113.7924808001126,22.67093922078808,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BUW4EA,福永地铁站送车点-送车点,虚拟数据;虚拟数据;虚拟数据,980000,[],深圳市福永地铁站,113.799555,22.667728,113.79446040364064,22.670621382684217,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BUWC4C,福永地铁站送车点-千途出行,虚拟数据;虚拟数据;虚拟数据,980000,[],福永地铁站,113.799555,22.667728,113.79446040364064,22.670621382684217,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BUZ87U,福永地铁站送车点-捷华,虚拟数据;虚拟数据;虚拟数据,980000,[],深圳市福永地铁站,113.799555,22.667728,113.79446040364064,22.670621382684217,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BC0YKT,03,虚拟数据;虚拟数据;虚拟数据,980000,[],[],113.80177,22.646835,113.79668200718318,22.64973634400007,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BC0R58,4,虚拟数据;虚拟数据;虚拟数据,980000,[],松岗立交,113.884952,22.82122,113.88005070741234,22.82420286194491,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BC42MT,嘉达,虚拟数据;虚拟数据;虚拟数据,980000,[],燕罗街道红湖路嘉达绿色材料产业园,113.868291,22.81947,113.86336028956592,22.82243682212018,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BC0R24,楼村送车点,虚拟数据;虚拟数据;虚拟数据,980000,[],新湖街道光侨路深圳市家化美容品有限公司,113.944819,22.79761,113.9399241985899,22.800566452572152,[],广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0JRKGQ46J,文文民宿(公明广场商圈1号店),虚拟数据;虚拟民宿;虚拟民宿,980100,[],公常路214华嘉宝大厦,113.945051,22.792987,113.9401561932316,22.795944622214915,"4006888215,,315144",广东省,深圳市,光明区,虚拟数据,虚拟民宿,虚拟民宿
B0JRKGNC73,文文民宿(公明广场商圈2号店),虚拟数据;虚拟民宿;虚拟民宿,980100,[],公常路214华嘉宝大厦,113.945051,22.792987,113.9401561932316,22.795944622214915,"4006888215,,315144",广东省,深圳市,光明区,虚拟数据,虚拟民宿,虚拟民宿
B0JKVNFN28,乐宜出行中大点,虚拟数据;虚拟数据;虚拟数据,980000,[],新湖街道大印象酒店(中山大学深圳校区店)新陂头市场,113.941529,22.802173,113.93663793013462,22.805133785891343,4006261666,广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0JKHNV03U,乐宜出行圳美点,虚拟数据;虚拟数据;虚拟数据,980000,[],新湖街道围圳路圳美市场商业步行街,113.945967,22.791529,113.94107107752988,22.794485389781126,[],广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0J6BC0JKK,新陂头路,虚拟数据;虚拟数据;虚拟数据,980000,[],新湖街道新坡头路天和双力,113.939578,22.806138,113.93468884541473,22.809100698365107,[],广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0J09NPUHY,光明店,虚拟数据;虚拟数据;虚拟数据,980000,[],光明小镇欢乐田园,113.961317,22.785599,113.95639644143075,22.788523900615235,17875339675,广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0I10K3RWQ,科学公园地铁站送车点-麻花,虚拟数据;虚拟数据;虚拟数据,980000,[],新湖街道中泰街21号,113.941691,22.783216,113.93680095313906,22.78618304066992,18126462952,广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0JKVNIYHQ,乐宜出行楼村点,虚拟数据;虚拟数据;虚拟数据,980000,[],新湖街道荔都路67号,113.931903,22.785846,113.92702203901035,22.788827266430413,4006261666,广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0JGFNM3OP,楼村1送车点,虚拟数据;虚拟数据;虚拟数据,980000,[],新湖街道楼新三路楼村新村,113.928555,22.782592,113.92367641469728,22.78557860501337,[],广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0I10KZQAG,楼村地铁站送车点-麻花,虚拟数据;虚拟数据;虚拟数据,980000,[],新湖街道绘猫路128号,113.92874,22.781462,113.92386138052495,22.78444876340796,18126462952,广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0J6BC2VC7,4,虚拟数据;虚拟数据;虚拟数据,980000,[],光明区华村路,113.922935,22.78373,113.9180587982225,22.786722230364724,[],广东省,深圳市,光明区,虚拟数据,虚拟数据,虚拟数据
B0J6ZPHAR2,乐享诗与远方民宿,虚拟数据;虚拟民宿;虚拟民宿,980100,[],玉塘街道红星社区星工一路9号,113.906232,22.708595,113.9013589330352,22.711619544300405,"4006888215,,272589",广东省,深圳市,光明区,虚拟数据,虚拟民宿,虚拟民宿
B0J3LN043E,悟能租车(七沥墓园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],七沥墓园,113.865928,22.696412,113.86100020531995,22.699414286775045,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BC38DD,874,虚拟数据;虚拟数据;虚拟数据,980000,[],[],113.869993,22.68432,113.86507439558082,22.687330504144413,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J6BC1YQH,884,虚拟数据;虚拟数据;虚拟数据,980000,[],环石岩湖绿道,113.90982,22.673342,113.904950656321,22.67637431903384,[],广东省,深圳市,宝安区,虚拟数据,虚拟数据,虚拟数据
B0J3LN4QX4,悟能租车(新铭盛工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],新铭盛工业园,114.015811,22.751873,114.01076327978556,22.75465196845254,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0J3LNT4FC,悟能租车(信盛工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],信盛工业园,114.017643,22.752194,114.01259083953734,22.754967524828583,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0J3LN4B85,悟能租车(瑚琳工业园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],龙华区瑚琳工业园,114.016593,22.750928,114.0115434487001,22.7537049739572,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0J3LN3PH4,悟能租车(宝观科技园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],龙华区宝观科技园,114.019952,22.750937,114.0148944265195,22.75370424812582,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0J3LNSHMB,悟能租车(章阁龙庭送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],章阁龙庭,114.017423,22.748189,114.012371627957,22.750964398505392,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0J6BC3341,观澜章阁,虚拟数据;虚拟数据;虚拟数据,980000,[],福城街道宝观路深圳市格林晟科技有限公司,114.020966,22.750141,114.01590609426482,22.75290559336252,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0JGBN72YI,观澜章阁,虚拟数据;虚拟数据;虚拟数据,980000,[],福城街道宝观路深圳市格林晟科技有限公司,114.020997,22.750175,114.01593701946096,22.75293949448728,4006261666,广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0J3LN3A8H,悟能租车(富华小区送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],富华小区,114.019949,22.747235,114.0148916744346,22.75000339393412,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0J3LN0Y97,悟能租车(汇萃农资送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],汇萃农资(尚品雅居店),114.021659,22.748303,114.01659759539498,22.751066186070407,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0I0ZPBLG1,"近地铁,离火车站24公里,附近有大型购物广场",虚拟数据;虚拟民宿;虚拟民宿,980100,[],桂月路宏景公寓,114.020926,22.745862,114.01586646639248,22.74862801756936,"4006888215,226113",广东省,深圳市,龙华区,虚拟数据,虚拟民宿,虚拟民宿
B0J3LN3A8F,悟能租车(章阁鼎丰科技园送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],章阁鼎丰科技园,114.02301,22.750411,114.01794532937971,22.75316971788916,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
B0I0ZP8QEA,"近地铁,离火车站24公里,附近有大型商场汇隆百货",虚拟数据;虚拟民宿;虚拟民宿,980100,[],桂月路宏景公寓,114.021005,22.745929,114.01594527702528,22.74869477189656,"4006888215,226113",广东省,深圳市,龙华区,虚拟数据,虚拟民宿,虚拟民宿
B0J3LN2N57,悟能租车(深圳思博科机械工程有限公司送取车点),虚拟数据;虚拟数据;虚拟数据,980000,[],深圳思博科机械工程有限公司,114.020956,22.748572,114.0158962197864,22.75133710425363,[],广东省,深圳市,龙华区,虚拟数据,虚拟数据,虚拟数据
