id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0J3M9HAD9,福萱车贷,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],大洋路与立新北路交叉口东40米,113.810279,22.684484,113.80520965285535,22.68739156868397,[],广东省,深圳市,宝安区,金融保险服务,金融保险服务机构,金融保险机构
B0JDUDGSW9,广通车贷汽车抵押借款押证,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],码头路90号,113.870777,22.565871,113.8658674943194,22.568902762069584,18617105588,广东省,深圳市,宝安区,金融保险服务,金融保险服务机构,金融保险机构
B0J1LMNXDZ,汽车借款,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],观湖街道观城社区龙华大道6670号,114.047592,22.708385,114.0424814411164,22.71109402990274,[],广东省,深圳市,龙华区,金融保险服务,金融保险服务机构,金融保险机构
B0JRGNSLQM,铭德车贷,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],新木创意大厦卓优培训旁1楼106铺,114.124652,22.668129,114.1195547208347,22.670806274537544,[],广东省,深圳市,龙岗区,金融保险服务,金融保险服务机构,金融保险机构
B0JK2KQ1CS,晟安汽车抵押贷款,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],展润大厦,114.034129,22.6723,114.02904524360002,22.675049786478,13247610291,广东省,深圳市,龙华区,金融保险服务,金融保险服务机构,金融保险机构
B0J1JMQN3S,平安车险,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],清水河一路52号博丰大厦F2层,114.110137,22.577554,114.10502301158012,22.580235171370045,[],广东省,深圳市,罗湖区,金融保险服务,金融保险服务机构,金融保险机构
B0JRPHC7FX,平安汽车金融,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],福中三路与鹏程一路交叉口西南100米,114.051103,22.54197,114.04599797184028,22.54470012492049,[],广东省,深圳市,福田区,金融保险服务,金融保险服务机构,金融保险机构
B0H2AC7BD0,中金公司,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],福田街道益田路5033号平安金融中心72层,114.055741,22.533201,114.05063026541566,22.53592269040433,13737916068,广东省,深圳市,福田区,金融保险服务,金融保险服务机构,金融保险机构
B0FFJPZ5X1,冠华联投,金融保险服务;金融保险服务机构;金融保险机构|购物服务;购物相关场所;购物相关场所,160000|060000,[],新沙路k1电商城附近,113.78673,22.731357,113.7816034,22.7342156,[],广东省,深圳市,宝安区,金融保险服务,金融保险服务机构,金融保险机构
B0FFGYOIGH,时兴贷汽车信息咨询有限公司,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],龙城街道吉祥路515号,114.237853,22.724608,114.23300818218874,22.727437950020057,13922841929,广东省,深圳市,龙岗区,金融保险服务,金融保险服务机构,金融保险机构
B0FFKPT6Q7,深圳市圣德鑫投资发展有限公司,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],布龙路与华达路交汇处可乐园A栋17号商铺,113.999163,22.663528,113.99416263947442,22.666380371071675,18927421653,广东省,深圳市,龙华区,金融保险服务,金融保险服务机构,金融保险机构
B0JK5682FB,田心(时代)营业部,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],石岩大道与育才路交叉口西北60米,113.9395,22.672967,113.93461941198872,22.67596925600859,[],广东省,深圳市,宝安区,金融保险服务,金融保险服务机构,金融保险机构
B0J2TLZAXE,佳利营业所,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],高峰东路与赤岭头路交叉口西南40米,114.010006,22.65335,114.00497894906952,22.65617177979556,[],广东省,深圳市,龙华区,金融保险服务,金融保险服务机构,金融保险机构
B0KDY7YTC4,银田营业所,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],宝安大道辅路与银田工业路交叉口西北100米,113.858451,22.585778,113.85351353321576,22.588790596622573,[],广东省,深圳市,宝安区,金融保险服务,金融保险服务机构,金融保险机构
B0J1TAFNOZ,清龙揽投部,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],和平路62号优鼎企创园D栋清湖邮政所,114.038406,22.670475,114.03331395440634,22.67321449439689,[],广东省,深圳市,龙华区,金融保险服务,金融保险服务机构,金融保险机构
B0JUUDNGOP,上合营业部,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],公园路与上合路交叉口南20米,113.901716,22.578065,113.89684846672972,22.581115156981628,[],广东省,深圳市,宝安区,金融保险服务,金融保险服务机构,金融保险机构
B0FFHK3X0T,中国邮政储蓄银行(大芬营业所),金融保险服务;银行;中国邮政储蓄银行|生活服务;邮局;邮局,160139|070400,[],中翠路135号(大芬地铁站A2口步行360米),114.14024,22.612997,114.13517893696572,22.61570492316147,0755-84526228,广东省,深圳市,龙岗区,金融保险服务,银行,中国邮政储蓄银行
B0KD4PP762,南山共和揽投部,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],科伟路与琼宇路交叉口西南40米,113.946098,22.550535,113.94121722944928,22.553544456644552,[],广东省,深圳市,南山区,金融保险服务,金融保险服务机构,金融保险机构
B0FFGZW7LY,平安银行时代金融个贷中心,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],深南大道4001号时代金融中心2层平安银行,114.055364,22.538056,114.05025342708348,22.540778105403184,0755-23731835,广东省,深圳市,福田区,金融保险服务,金融保险服务机构,金融保险机构
B0J3HCIUNV,全国服务,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],深南大道大中华国际金融中心D座,114.068479,22.53868,114.06335538754465,22.54138113593909,[],广东省,深圳市,福田区,金融保险服务,金融保险服务机构,金融保险机构
B0J0UD617C,金准咨询服务,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],深南中路4026号田面城市大厦F23层,114.076398,22.541298,114.07127016008268,22.543989869700543,[],广东省,深圳市,福田区,金融保险服务,金融保险服务机构,金融保险机构
B0FFHDMBBD,中国邮政(华发北路),金融保险服务;银行;中国邮政储蓄银行|生活服务;邮局;邮政速递,160139|070401,[],华强北路1080号现代之窗数码广场F1层,114.087616,22.544197,114.08248735208214,22.54688057496758,11183,广东省,深圳市,福田区,金融保险服务,银行,中国邮政储蓄银行
B0JUJLMAGR,卓越世纪中心-润信保险经纪,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],卓越·世纪中心1号楼(会展中心地铁站D口步行480米),114.063716,22.53221,114.0585966495518,22.534918292311463,[],广东省,深圳市,福田区,金融保险服务,金融保险服务机构,金融保险机构
