id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFIMHY7K,冷却水塔,风景名胜;风景名胜相关;旅游景点|购物服务;购物相关场所;购物相关场所,110000|060000,[],松岗宏发君域S138号,113.839655,22.779254,113.8346578,22.7821888,0755-27143833,广东省,深圳市,宝安区,风景名胜,风景名胜相关,旅游景点
B0FFIHLBGC,金鸿广场,风景名胜;公园广场;城市广场|购物服务;商场;普通商场,110105|060102,[],西乡街道三围社区盛泰路2号,113.843177,22.614078,113.8381997,22.6170609,0755-29908138,广东省,深圳市,宝安区,风景名胜,公园广场,城市广场
B0JGLAFSGV,乐帆水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],甲子塘村南二巷2-1号,113.916978,22.732619,113.912106,22.7356322,13265849750,广东省,深圳市,光明区,风景名胜,公园广场,水族馆
B0HUB7EO49,上木古广场,风景名胜;公园广场;城市广场|购物服务;特色商业街;步行街,110105|061001,[],新河二巷与新河三巷交叉口东80米,114.120563,22.668684,114.1154585,22.6713571,[],广东省,深圳市,龙岗区,风景名胜,公园广场,城市广场
B0J1C5AM4V,凯利峰水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],大康社区沙荷路54-1号101,114.226267,22.637886,114.2214121,22.6407289,[],广东省,深圳市,龙岗区,风景名胜,公园广场,水族馆
B02F38RZVC,锦绣中华-凤凰广场,风景名胜;公园广场;城市广场|购物服务;购物相关场所;购物相关场所,110105|060000,[],深南大道9003号中国民俗文化村,113.988517,22.531136,113.9835519,22.5340386,0755-26600626,广东省,深圳市,南山区,风景名胜,公园广场,城市广场
B0JULRRZC6,龙腾水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],宝田三路与广深公路辅路交叉口东120米,113.868649,22.599693,113.8637331,22.6027181,[],广东省,深圳市,宝安区,风景名胜,公园广场,水族馆
B0FFKTQBX3,得怿体育,风景名胜;公园广场;公园|购物服务;体育用品店;体育用品店,110101|060900,[],农林路69号印力中心四层,114.011563,22.544746,114.0065391,22.5475783,[],广东省,深圳市,福田区,风景名胜,公园广场,公园
B0KAXRCOLC,星晨水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],固戍小路与东山岗路交叉口东南200米,113.848831,22.592353,113.8438696,22.595349,[],广东省,深圳市,宝安区,风景名胜,公园广场,水族馆
B0KDY7RQRL,龍晟水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],岗厦村东二坊56号楼,114.071367,22.537941,114.0662416,22.5406385,13751112520,广东省,深圳市,福田区,风景名胜,公园广场,水族馆
B0J15DU74P,佳兴水族,风景名胜;公园广场;水族馆|购物服务;花鸟鱼虫市场;花鸟鱼虫市场,110104|060500,[],皇岗三街与皇岗四街交叉口东120米,114.060019,22.527728,114.0549036,22.5304424,15218746280,广东省,深圳市,福田区,风景名胜,公园广场,水族馆
B0FFGQILWZ,楼岗社区户外文体公园,风景名胜;公园广场;公园|体育休闲服务;运动场馆;户外健身场所,110101|080108,tour,松岗大道42号附近,113.859803,22.771631,113.85485678912602,22.774602583206985,[],广东省,深圳市,宝安区,风景名胜,公园广场,公园
B0FFFTHH8W,步涌体育公园,风景名胜;公园广场;公园|体育休闲服务;运动场馆;运动场所,110101|080100,tour,新和大道76号,113.813155,22.757486,113.80808832396504,22.760378337108552,18938922477;15007108952,广东省,深圳市,宝安区,风景名胜,公园广场,公园
B02F38J6EN,南岭村社区文化广场,风景名胜;公园广场;城市广场|体育休闲服务;休闲场所;休闲场所,110105|080500,tour,南岭南路35号,114.150028,22.610708,114.14499089034848,22.61343205848697,0755-89255289,广东省,深圳市,龙岗区,风景名胜,公园广场,城市广场
B0FFMCJRZA,金钟谷生态园,风景名胜;风景名胜相关;旅游景点|体育休闲服务;体育休闲服务场所;体育休闲服务场所,110000|080000,tour,南西路,114.526056,22.507275,114.52144265835148,22.510216551977745,13823613114,广东省,深圳市,龙岗区,风景名胜,风景名胜相关,旅游景点
B0FFK8MN40,景田北六街公园宠物主题园,风景名胜;公园广场;公园|体育休闲服务;体育休闲服务场所;体育休闲服务场所,110101|080000,tour,花景道(北六街与景田北八街交界处),114.035684,22.558214,114.03060453727424,22.560978048553896,[],广东省,深圳市,福田区,风景名胜,公园广场,公园
B02F37VUER,洪湖花园湖景社区文体广场,风景名胜;公园广场;城市广场|体育休闲服务;运动场馆;运动场所,110105|080100,tour,洪湖路10号洪湖花园,114.12085,22.55733,114.1157532174448,22.56002088597885,0755-25170401,广东省,深圳市,罗湖区,风景名胜,公园广场,城市广场
B0GUTZIHOE,彩虹沙滩(暂停开放),风景名胜;风景名胜;海滩,110208,tour,[],113.843126,22.572192,113.83815124127928,22.575180322488603,[],广东省,深圳市,宝安区,风景名胜,风景名胜,海滩
B0H255NEFN,解放内伶仃岛战斗遗址,风景名胜;风景名胜;红色景区,110210,tour,蛇口街道内伶仃岛,113.798902,22.412048,113.79382240522604,22.414956185180102,[],广东省,深圳市,南山区,风景名胜,风景名胜,红色景区
B0FFGYYBPR,红排角,风景名胜;风景名胜;观景点,110209,tour,坝核公路,114.599665,22.651081,114.59517657045782,22.65411444036759,[],广东省,深圳市,龙岗区,风景名胜,风景名胜,观景点
B02F38IOQ3,南澳广场,风景名胜;公园广场;城市广场,110105,tour,海滨南路附近,114.489167,22.534135,114.4844235980158,22.536966750087,[],广东省,深圳市,龙岗区,风景名胜,公园广场,城市广场
B0FFLQA9JV,南澳政洁沙滩,风景名胜;风景名胜;海滩,110208,tour,南澳镇富民路,114.485672,22.501371,114.48091837941742,22.50419358022173,[],广东省,深圳市,龙岗区,风景名胜,风景名胜,海滩
B0J1LAUVE8,水头沙沙滩,风景名胜;风景名胜;风景名胜,110200,tour,文明路1号,114.478704,22.547329,114.47392345921884,22.55012945715256,[],广东省,深圳市,龙岗区,风景名胜,风景名胜,风景名胜
